3_miles	heavy_traffic	hospital
hospital	poi	stanford_childrens_health
stanford_childrens_health	distance	3_miles
stanford_childrens_health	traffic_info	heavy_traffic
stanford_childrens_health	poi_type	hospital
stanford_childrens_health	address	899_ames_ct
5_miles	moderate_traffic	pizza_restaurant
pizza_restaurant	poi	dominos
dominos	distance	5_miles
dominos	traffic_info	moderate_traffic
dominos	poi_type	pizza_restaurant
dominos	address	776_arastradero_rd
2_miles	no_traffic	pizza_restaurant
pizza_restaurant	poi	round_table
round_table	distance	2_miles
round_table	traffic_info	no_traffic
round_table	poi_type	pizza_restaurant
round_table	address	113_anton_ct
1_miles	no_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	starbucks
starbucks	distance	1_miles
starbucks	traffic_info	no_traffic
starbucks	poi_type	coffee_or_tea_place
starbucks	address	792_bedoin_street
4_miles	moderate_traffic	chinese_restaurant
chinese_restaurant	poi	panda_express
panda_express	distance	4_miles
panda_express	traffic_info	moderate_traffic
panda_express	poi_type	chinese_restaurant
panda_express	address	842_arrowhead_way
1_miles	no_traffic	shopping_center
shopping_center	poi	stanford_shopping_center
stanford_shopping_center	distance	1_miles
stanford_shopping_center	traffic_info	no_traffic
stanford_shopping_center	poi_type	shopping_center
stanford_shopping_center	address	773_alger_dr
5_miles	no_traffic	certain_address
certain_address	poi	5672_barringer_street
5672_barringer_street	distance	5_miles
5672_barringer_street	traffic_info	no_traffic
5672_barringer_street	poi_type	certain_address
5672_barringer_street	address	5672_barringer_street
