6_miles	heavy_traffic	parking_garage
parking_garage	poi	stanford_oval_parking
stanford_oval_parking	distance	6_miles
stanford_oval_parking	traffic_info	heavy_traffic
stanford_oval_parking	poi_type	parking_garage
stanford_oval_parking	address	610_amarillo_ave
5_miles	no_traffic	pizza_restaurant
pizza_restaurant	poi	round_table
round_table	distance	5_miles
round_table	traffic_info	no_traffic
round_table	poi_type	pizza_restaurant
round_table	address	113_anton_ct
3_miles	moderate_traffic	rest_stop
rest_stop	poi	travelers_lodge
travelers_lodge	distance	3_miles
travelers_lodge	traffic_info	moderate_traffic
travelers_lodge	poi_type	rest_stop
travelers_lodge	address	333_arbol_dr
5_miles	no_traffic	grocery_store
grocery_store	poi	whole_foods
whole_foods	distance	5_miles
whole_foods	traffic_info	no_traffic
whole_foods	poi_type	grocery_store
whole_foods	address	819_alma_st
4_miles	car_collision_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	peets_coffee
peets_coffee	distance	4_miles
peets_coffee	traffic_info	car_collision_nearby
peets_coffee	poi_type	coffee_or_tea_place
peets_coffee	address	9981_archuleta_ave
2_miles	moderate_traffic	parking_garage
parking_garage	poi	palo_alto_garage_r
palo_alto_garage_r	distance	2_miles
palo_alto_garage_r	traffic_info	moderate_traffic
palo_alto_garage_r	poi_type	parking_garage
palo_alto_garage_r	address	481_amaranta_ave
5_miles	road_block_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	palo_alto_cafe
palo_alto_cafe	distance	5_miles
palo_alto_cafe	traffic_info	road_block_nearby
palo_alto_cafe	poi_type	coffee_or_tea_place
palo_alto_cafe	address	436_alger_dr
5_miles	moderate_traffic	friends_house
friends_house	poi	jills_house
jills_house	distance	5_miles
jills_house	traffic_info	moderate_traffic
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
