6_miles	car_collision_nearby	home
home	poi	home
home	distance	6_miles
home	traffic_info	car_collision_nearby
home	poi_type	home
home	address	10_ames_street
5_miles	heavy_traffic	gas_station
gas_station	poi	shell
shell	distance	5_miles
shell	traffic_info	heavy_traffic
shell	poi_type	gas_station
shell	address	53_university_av
4_miles	heavy_traffic	grocery_store
grocery_store	poi	whole_foods
whole_foods	distance	4_miles
whole_foods	traffic_info	heavy_traffic
whole_foods	poi_type	grocery_store
whole_foods	address	819_alma_st
4_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	4_miles
papa_johns	traffic_info	heavy_traffic
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
1_miles	heavy_traffic	gas_station
gas_station	poi	76
76	distance	1_miles
76	traffic_info	heavy_traffic
76	poi_type	gas_station
76	address	91_el_camino_real
3_miles	moderate_traffic	hospital
hospital	poi	stanford_express_care
stanford_express_care	distance	3_miles
stanford_express_care	traffic_info	moderate_traffic
stanford_express_care	poi_type	hospital
stanford_express_care	address	214_el_camino_real
4_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	pizza_hut
pizza_hut	distance	4_miles
pizza_hut	traffic_info	heavy_traffic
pizza_hut	poi_type	pizza_restaurant
pizza_hut	address	704_el_camino_real
3_miles	heavy_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	teavana
teavana	distance	3_miles
teavana	traffic_info	heavy_traffic
teavana	poi_type	coffee_or_tea_place
teavana	address	145_amherst_st
