5_miles	heavy_traffic	grocery_store
grocery_store	poi	hacienda_market
hacienda_market	distance	5_miles
hacienda_market	traffic_info	heavy_traffic
hacienda_market	poi_type	grocery_store
hacienda_market	address	1313_chester_ave
3_miles	road_block_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	palo_alto_cafe
palo_alto_cafe	distance	3_miles
palo_alto_cafe	traffic_info	road_block_nearby
palo_alto_cafe	poi_type	coffee_or_tea_place
palo_alto_cafe	address	436_alger_dr
2_miles	road_block_nearby	chinese_restaurant
chinese_restaurant	poi	jing_jing
jing_jing	distance	2_miles
jing_jing	traffic_info	road_block_nearby
jing_jing	poi_type	chinese_restaurant
jing_jing	address	113_arbol_dr
4_miles	road_block_nearby	gas_station
gas_station	poi	76
76	distance	4_miles
76	traffic_info	road_block_nearby
76	poi_type	gas_station
76	address	91_el_camino_real
3_miles	moderate_traffic	home
home	poi	home
home	distance	3_miles
home	traffic_info	moderate_traffic
home	poi_type	home
home	address	10_ames_street
4_miles	moderate_traffic	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	4_miles
papa_johns	traffic_info	moderate_traffic
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
6_miles	no_traffic	home
home	poi	home
home	distance	6_miles
home	traffic_info	no_traffic
home	poi_type	home
home	address	10_ames_street
4_miles	moderate_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	teavana
teavana	distance	4_miles
teavana	traffic_info	moderate_traffic
teavana	poi_type	coffee_or_tea_place
teavana	address	145_amherst_st
