2_miles	no_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	cafe_venetia
cafe_venetia	distance	2_miles
cafe_venetia	traffic_info	no_traffic
cafe_venetia	poi_type	coffee_or_tea_place
cafe_venetia	address	269_alger_dr
4_miles	moderate_traffic	parking_garage
parking_garage	poi	stanford_oval_parking
stanford_oval_parking	distance	4_miles
stanford_oval_parking	traffic_info	moderate_traffic
stanford_oval_parking	poi_type	parking_garage
stanford_oval_parking	address	610_amarillo_ave
1_miles	heavy_traffic	grocery_store
grocery_store	poi	safeway
safeway	distance	1_miles
safeway	traffic_info	heavy_traffic
safeway	poi_type	grocery_store
safeway	address	452_arcadia_pl
1_miles	heavy_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	coupa
coupa	distance	1_miles
coupa	traffic_info	heavy_traffic
coupa	poi_type	coffee_or_tea_place
coupa	address	394_van_ness_ave
5_miles	moderate_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	philz
philz	distance	5_miles
philz	traffic_info	moderate_traffic
philz	poi_type	coffee_or_tea_place
philz	address	583_alester_ave
1_miles	heavy_traffic	friends_house
friends_house	poi	toms_house
toms_house	distance	1_miles
toms_house	traffic_info	heavy_traffic
toms_house	poi_type	friends_house
toms_house	address	580_van_ness_ave
5_miles	moderate_traffic	chinese_restaurant
chinese_restaurant	poi	tai_pan
tai_pan	distance	5_miles
tai_pan	traffic_info	moderate_traffic
tai_pan	poi_type	chinese_restaurant
tai_pan	address	830_almanor_ln
