1_miles	no_traffic	grocery_store
grocery_store	poi	willows_market
willows_market	distance	1_miles
willows_market	traffic_info	no_traffic
willows_market	poi_type	grocery_store
willows_market	address	409_bollard_st
8_miles	car_collision_nearby	parking_garage
parking_garage	poi	palo_alto_garage_r
palo_alto_garage_r	distance	8_miles
palo_alto_garage_r	traffic_info	car_collision_nearby
palo_alto_garage_r	poi_type	parking_garage
palo_alto_garage_r	address	481_amaranta_ave
4_miles	heavy_traffic	home
home	poi	home
home	distance	4_miles
home	traffic_info	heavy_traffic
home	poi_type	home
home	address	5671_barringer_street
6_miles	moderate_traffic	chinese_restaurant
chinese_restaurant	poi	jing_jing
jing_jing	distance	6_miles
jing_jing	traffic_info	moderate_traffic
jing_jing	poi_type	chinese_restaurant
jing_jing	address	113_arbol_dr
6_miles	moderate_traffic	friends_house
friends_house	poi	jacks_house
jacks_house	distance	6_miles
jacks_house	traffic_info	moderate_traffic
jacks_house	poi_type	friends_house
jacks_house	address	864_almanor_ln
3_miles	moderate_traffic	certain_address
certain_address	poi	5672_barringer_street
5672_barringer_street	distance	3_miles
5672_barringer_street	traffic_info	moderate_traffic
5672_barringer_street	poi_type	certain_address
5672_barringer_street	address	5672_barringer_street
4_miles	heavy_traffic	gas_station
gas_station	poi	chevron
chevron	distance	4_miles
chevron	traffic_info	heavy_traffic
chevron	poi_type	gas_station
chevron	address	783_arcadia_pl
2_miles	car_collision_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	cafe_venetia
cafe_venetia	distance	2_miles
cafe_venetia	traffic_info	car_collision_nearby
cafe_venetia	poi_type	coffee_or_tea_place
cafe_venetia	address	269_alger_dr
