4_miles	heavy_traffic	certain_address
certain_address	poi	5677_southwest_4th_street
5677_southwest_4th_street	distance	4_miles
5677_southwest_4th_street	traffic_info	heavy_traffic
5677_southwest_4th_street	poi_type	certain_address
5677_southwest_4th_street	address	5677_southwest_4th_street
2_miles	no_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	palo_alto_cafe
palo_alto_cafe	distance	2_miles
palo_alto_cafe	traffic_info	no_traffic
palo_alto_cafe	poi_type	coffee_or_tea_place
palo_alto_cafe	address	436_alger_dr
3_miles	no_traffic	chinese_restaurant
chinese_restaurant	poi	mandarin_roots
mandarin_roots	distance	3_miles
mandarin_roots	traffic_info	no_traffic
mandarin_roots	poi_type	chinese_restaurant
mandarin_roots	address	271_springer_street
6_miles	moderate_traffic	chinese_restaurant
chinese_restaurant	poi	tai_pan
tai_pan	distance	6_miles
tai_pan	traffic_info	moderate_traffic
tai_pan	poi_type	chinese_restaurant
tai_pan	address	830_almanor_ln
2_miles	moderate_traffic	gas_station
gas_station	poi	valero
valero	distance	2_miles
valero	traffic_info	moderate_traffic
valero	poi_type	gas_station
valero	address	200_alester_ave
2_miles	moderate_traffic	grocery_store
grocery_store	poi	sigona_farmers_market
sigona_farmers_market	distance	2_miles
sigona_farmers_market	traffic_info	moderate_traffic
sigona_farmers_market	poi_type	grocery_store
sigona_farmers_market	address	638_amherst_st
1_miles	moderate_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	cafe_venetia
cafe_venetia	distance	1_miles
cafe_venetia	traffic_info	moderate_traffic
cafe_venetia	poi_type	coffee_or_tea_place
cafe_venetia	address	269_alger_dr
