7_miles	road_block_nearby	grocery_store
grocery_store	poi	trader_joes
trader_joes	distance	7_miles
trader_joes	traffic_info	road_block_nearby
trader_joes	poi_type	grocery_store
trader_joes	address	408_university_ave
5_miles	moderate_traffic	pizza_restaurant
pizza_restaurant	poi	round_table
round_table	distance	5_miles
round_table	traffic_info	moderate_traffic
round_table	poi_type	pizza_restaurant
round_table	address	113_anton_ct
1_miles	moderate_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	coupa
coupa	distance	1_miles
coupa	traffic_info	moderate_traffic
coupa	poi_type	coffee_or_tea_place
coupa	address	394_van_ness_ave
1_miles	car_collision_nearby	gas_station
gas_station	poi	chevron
chevron	distance	1_miles
chevron	traffic_info	car_collision_nearby
chevron	poi_type	gas_station
chevron	address	783_arcadia_pl
2_miles	moderate_traffic	chinese_restaurant
chinese_restaurant	poi	p_._f_._changs
p_._f_._changs	distance	2_miles
p_._f_._changs	traffic_info	moderate_traffic
p_._f_._changs	poi_type	chinese_restaurant
p_._f_._changs	address	669_el_camino_real
1_miles	no_traffic	grocery_store
grocery_store	poi	willows_market
willows_market	distance	1_miles
willows_market	traffic_info	no_traffic
willows_market	poi_type	grocery_store
willows_market	address	409_bollard_st
3_miles	moderate_traffic	certain_address
certain_address	poi	5677_springer_street
5677_springer_street	distance	3_miles
5677_springer_street	traffic_info	moderate_traffic
5677_springer_street	poi_type	certain_address
5677_springer_street	address	5677_springer_street
2_miles	moderate_traffic	parking_garage
parking_garage	poi	palo_alto_garage_r
palo_alto_garage_r	distance	2_miles
palo_alto_garage_r	traffic_info	moderate_traffic
palo_alto_garage_r	poi_type	parking_garage
palo_alto_garage_r	address	481_amaranta_ave
