4_miles	heavy_traffic	home
home	poi	home
home	distance	4_miles
home	traffic_info	heavy_traffic
home	poi_type	home
home	address	10_ames_street
5_miles	moderate_traffic	friends_house
friends_house	poi	toms_house
toms_house	distance	5_miles
toms_house	traffic_info	moderate_traffic
toms_house	poi_type	friends_house
toms_house	address	580_van_ness_ave
3_miles	no_traffic	rest_stop
rest_stop	poi	the_clement_hotel
the_clement_hotel	distance	3_miles
the_clement_hotel	traffic_info	no_traffic
the_clement_hotel	poi_type	rest_stop
the_clement_hotel	address	657_ames_ave
1_miles	moderate_traffic	shopping_center
shopping_center	poi	ravenswood_shopping_center
ravenswood_shopping_center	distance	1_miles
ravenswood_shopping_center	traffic_info	moderate_traffic
ravenswood_shopping_center	poi_type	shopping_center
ravenswood_shopping_center	address	434_arastradero_rd
2_miles	no_traffic	certain_address
certain_address	poi	5677_southwest_4th_street
5677_southwest_4th_street	distance	2_miles
5677_southwest_4th_street	traffic_info	no_traffic
5677_southwest_4th_street	poi_type	certain_address
5677_southwest_4th_street	address	5677_southwest_4th_street
6_miles	moderate_traffic	shopping_center
shopping_center	poi	town_and_country
town_and_country	distance	6_miles
town_and_country	traffic_info	moderate_traffic
town_and_country	poi_type	shopping_center
town_and_country	address	383_university_ave
3_miles	no_traffic	friends_house
friends_house	poi	jills_house
jills_house	distance	3_miles
jills_house	traffic_info	no_traffic
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
