5_miles	road_block_nearby	certain_address
certain_address	poi	5677_southwest_4th_street
5677_southwest_4th_street	distance	5_miles
5677_southwest_4th_street	traffic_info	road_block_nearby
5677_southwest_4th_street	poi_type	certain_address
5677_southwest_4th_street	address	5677_southwest_4th_street
6_miles	heavy_traffic	hospital
hospital	poi	palo_alto_medical_foundation
palo_alto_medical_foundation	distance	6_miles
palo_alto_medical_foundation	traffic_info	heavy_traffic
palo_alto_medical_foundation	poi_type	hospital
palo_alto_medical_foundation	address	611_ames_ave
6_miles	moderate_traffic	parking_garage
parking_garage	poi	dish_parking
dish_parking	distance	6_miles
dish_parking	traffic_info	moderate_traffic
dish_parking	poi_type	parking_garage
dish_parking	address	550_alester_ave
2_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	round_table
round_table	distance	2_miles
round_table	traffic_info	heavy_traffic
round_table	poi_type	pizza_restaurant
round_table	address	113_anton_ct
2_miles	no_traffic	chinese_restaurant
chinese_restaurant	poi	jing_jing
jing_jing	distance	2_miles
jing_jing	traffic_info	no_traffic
jing_jing	poi_type	chinese_restaurant
jing_jing	address	113_arbol_dr
3_miles	moderate_traffic	gas_station
gas_station	poi	valero
valero	distance	3_miles
valero	traffic_info	moderate_traffic
valero	poi_type	gas_station
valero	address	200_alester_ave
6_miles	heavy_traffic	hospital
hospital	poi	stanford_express_care
stanford_express_care	distance	6_miles
stanford_express_care	traffic_info	heavy_traffic
stanford_express_care	poi_type	hospital
stanford_express_care	address	214_el_camino_real
4_miles	no_traffic	grocery_store
grocery_store	poi	safeway
safeway	distance	4_miles
safeway	traffic_info	no_traffic
safeway	poi_type	grocery_store
safeway	address	452_arcadia_pl
