1_miles	road_block_nearby	chinese_restaurant
chinese_restaurant	poi	tai_pan
tai_pan	distance	1_miles
tai_pan	traffic_info	road_block_nearby
tai_pan	poi_type	chinese_restaurant
tai_pan	address	830_almanor_ln
4_miles	moderate_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	coupa
coupa	distance	4_miles
coupa	traffic_info	moderate_traffic
coupa	poi_type	coffee_or_tea_place
coupa	address	394_van_ness_ave
4_miles	heavy_traffic	hospital
hospital	poi	stanford_childrens_health
stanford_childrens_health	distance	4_miles
stanford_childrens_health	traffic_info	heavy_traffic
stanford_childrens_health	poi_type	hospital
stanford_childrens_health	address	899_ames_ct
4_miles	no_traffic	rest_stop
rest_stop	poi	the_clement_hotel
the_clement_hotel	distance	4_miles
the_clement_hotel	traffic_info	no_traffic
the_clement_hotel	poi_type	rest_stop
the_clement_hotel	address	657_ames_ave
6_miles	no_traffic	home
home	poi	home
home	distance	6_miles
home	traffic_info	no_traffic
home	poi_type	home
home	address	5671_barringer_street
2_miles	heavy_traffic	shopping_center
shopping_center	poi	midtown_shopping_center
midtown_shopping_center	distance	2_miles
midtown_shopping_center	traffic_info	heavy_traffic
midtown_shopping_center	poi_type	shopping_center
midtown_shopping_center	address	338_alester_ave
3_miles	heavy_traffic	certain_address
certain_address	poi	5677_springer_street
5677_springer_street	distance	3_miles
5677_springer_street	traffic_info	heavy_traffic
5677_springer_street	poi_type	certain_address
5677_springer_street	address	5677_springer_street
4_miles	car_collision_nearby	grocery_store
grocery_store	poi	willows_market
willows_market	distance	4_miles
willows_market	traffic_info	car_collision_nearby
willows_market	poi_type	grocery_store
willows_market	address	409_bollard_st
