3_miles	moderate_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	palo_alto_cafe
palo_alto_cafe	distance	3_miles
palo_alto_cafe	traffic_info	moderate_traffic
palo_alto_cafe	poi_type	coffee_or_tea_place
palo_alto_cafe	address	436_alger_dr
5_miles	heavy_traffic	parking_garage
parking_garage	poi	palo_alto_garage_r
palo_alto_garage_r	distance	5_miles
palo_alto_garage_r	traffic_info	heavy_traffic
palo_alto_garage_r	poi_type	parking_garage
palo_alto_garage_r	address	481_amaranta_ave
5_miles	no_traffic	pizza_restaurant
pizza_restaurant	poi	pizza_hut
pizza_hut	distance	5_miles
pizza_hut	traffic_info	no_traffic
pizza_hut	poi_type	pizza_restaurant
pizza_hut	address	704_el_camino_real
2_miles	heavy_traffic	chinese_restaurant
chinese_restaurant	poi	jing_jing
jing_jing	distance	2_miles
jing_jing	traffic_info	heavy_traffic
jing_jing	poi_type	chinese_restaurant
jing_jing	address	113_arbol_dr
5_miles	heavy_traffic	friends_house
friends_house	poi	jacks_house
jacks_house	distance	5_miles
jacks_house	traffic_info	heavy_traffic
jacks_house	poi_type	friends_house
jacks_house	address	864_almanor_ln
4_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	pizza_chicago
pizza_chicago	distance	4_miles
pizza_chicago	traffic_info	heavy_traffic
pizza_chicago	poi_type	pizza_restaurant
pizza_chicago	address	915_arbol_dr
1_miles	heavy_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	philz
philz	distance	1_miles
philz	traffic_info	heavy_traffic
philz	poi_type	coffee_or_tea_place
philz	address	583_alester_ave
