2_miles	road_block_nearby	rest_stop
rest_stop	poi	hotel_keen
hotel_keen	distance	2_miles
hotel_keen	traffic_info	road_block_nearby
hotel_keen	poi_type	rest_stop
hotel_keen	address	578_arbol_dr
3_miles	moderate_traffic	parking_garage
parking_garage	poi	webster_garage
webster_garage	distance	3_miles
webster_garage	traffic_info	moderate_traffic
webster_garage	poi_type	parking_garage
webster_garage	address	880_ames_ct
6_miles	no_traffic	friends_house
friends_house	poi	toms_house
toms_house	distance	6_miles
toms_house	traffic_info	no_traffic
toms_house	poi_type	friends_house
toms_house	address	580_van_ness_ave
1_miles	moderate_traffic	grocery_store
grocery_store	poi	trader_joes
trader_joes	distance	1_miles
trader_joes	traffic_info	moderate_traffic
trader_joes	poi_type	grocery_store
trader_joes	address	408_university_ave
5_miles	no_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	starbucks
starbucks	distance	5_miles
starbucks	traffic_info	no_traffic
starbucks	poi_type	coffee_or_tea_place
starbucks	address	792_bedoin_street
5_miles	moderate_traffic	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	5_miles
papa_johns	traffic_info	moderate_traffic
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
5_miles	no_traffic	certain_address
certain_address	poi	5677_southwest_4th_street
5677_southwest_4th_street	distance	5_miles
5677_southwest_4th_street	traffic_info	no_traffic
5677_southwest_4th_street	poi_type	certain_address
5677_southwest_4th_street	address	5677_southwest_4th_street
4_miles	car_collision_nearby	gas_station
gas_station	poi	76
76	distance	4_miles
76	traffic_info	car_collision_nearby
76	poi_type	gas_station
76	address	91_el_camino_real
