4_miles	road_block_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	peets_coffee
peets_coffee	distance	4_miles
peets_coffee	traffic_info	road_block_nearby
peets_coffee	poi_type	coffee_or_tea_place
peets_coffee	address	9981_archuleta_ave
2_miles	car_collision_nearby	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	2_miles
papa_johns	traffic_info	car_collision_nearby
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
3_miles	no_traffic	chinese_restaurant
chinese_restaurant	poi	mandarin_roots
mandarin_roots	distance	3_miles
mandarin_roots	traffic_info	no_traffic
mandarin_roots	poi_type	chinese_restaurant
mandarin_roots	address	271_springer_street
2_miles	heavy_traffic	chinese_restaurant
chinese_restaurant	poi	jing_jing
jing_jing	distance	2_miles
jing_jing	traffic_info	heavy_traffic
jing_jing	poi_type	chinese_restaurant
jing_jing	address	113_arbol_dr
6_miles	moderate_traffic	friends_house
friends_house	poi	jills_house
jills_house	distance	6_miles
jills_house	traffic_info	moderate_traffic
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
3_miles	no_traffic	rest_stop
rest_stop	poi	travelers_lodge
travelers_lodge	distance	3_miles
travelers_lodge	traffic_info	no_traffic
travelers_lodge	poi_type	rest_stop
travelers_lodge	address	333_arbol_dr
5_miles	car_collision_nearby	shopping_center
shopping_center	poi	town_and_country
town_and_country	distance	5_miles
town_and_country	traffic_info	car_collision_nearby
town_and_country	poi_type	shopping_center
town_and_country	address	383_university_ave
2_miles	heavy_traffic	gas_station
gas_station	poi	chevron
chevron	distance	2_miles
chevron	traffic_info	heavy_traffic
chevron	poi_type	gas_station
chevron	address	783_arcadia_pl
