5_miles	car_collision_nearby	pizza_restaurant
pizza_restaurant	poi	round_table
round_table	distance	5_miles
round_table	traffic_info	car_collision_nearby
round_table	poi_type	pizza_restaurant
round_table	address	113_anton_ct
2_miles	no_traffic	friends_house
friends_house	poi	jills_house
jills_house	distance	2_miles
jills_house	traffic_info	no_traffic
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
2_miles	heavy_traffic	shopping_center
shopping_center	poi	town_and_country
town_and_country	distance	2_miles
town_and_country	traffic_info	heavy_traffic
town_and_country	poi_type	shopping_center
town_and_country	address	383_university_ave
6_miles	moderate_traffic	rest_stop
rest_stop	poi	travelers_lodge
travelers_lodge	distance	6_miles
travelers_lodge	traffic_info	moderate_traffic
travelers_lodge	poi_type	rest_stop
travelers_lodge	address	333_arbol_dr
2_miles	no_traffic	friends_house
friends_house	poi	jacks_house
jacks_house	distance	2_miles
jacks_house	traffic_info	no_traffic
jacks_house	poi_type	friends_house
jacks_house	address	864_almanor_ln
3_miles	no_traffic	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	3_miles
papa_johns	traffic_info	no_traffic
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
1_miles	road_block_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	teavana
teavana	distance	1_miles
teavana	traffic_info	road_block_nearby
teavana	poi_type	coffee_or_tea_place
teavana	address	145_amherst_st
6_miles	heavy_traffic	gas_station
gas_station	poi	chevron
chevron	distance	6_miles
chevron	traffic_info	heavy_traffic
chevron	poi_type	gas_station
chevron	address	783_arcadia_pl
