5_miles	car_collision_nearby	gas_station
gas_station	poi	valero
valero	distance	5_miles
valero	traffic_info	car_collision_nearby
valero	poi_type	gas_station
valero	address	200_alester_ave
6_miles	road_block_nearby	rest_stop
rest_stop	poi	the_westin
the_westin	distance	6_miles
the_westin	traffic_info	road_block_nearby
the_westin	poi_type	rest_stop
the_westin	address	329_el_camino_real
3_miles	no_traffic	parking_garage
parking_garage	poi	webster_garage
webster_garage	distance	3_miles
webster_garage	traffic_info	no_traffic
webster_garage	poi_type	parking_garage
webster_garage	address	880_ames_ct
4_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	4_miles
papa_johns	traffic_info	heavy_traffic
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
3_miles	moderate_traffic	shopping_center
shopping_center	poi	midtown_shopping_center
midtown_shopping_center	distance	3_miles
midtown_shopping_center	traffic_info	moderate_traffic
midtown_shopping_center	poi_type	shopping_center
midtown_shopping_center	address	338_alester_ave
3_miles	moderate_traffic	certain_address
certain_address	poi	5677_springer_street
5677_springer_street	distance	3_miles
5677_springer_street	traffic_info	moderate_traffic
5677_springer_street	poi_type	certain_address
5677_springer_street	address	5677_springer_street
4_miles	moderate_traffic	hospital
hospital	poi	stanford_childrens_health
stanford_childrens_health	distance	4_miles
stanford_childrens_health	traffic_info	moderate_traffic
stanford_childrens_health	poi_type	hospital
stanford_childrens_health	address	899_ames_ct
6_miles	moderate_traffic	grocery_store
grocery_store	poi	sigona_farmers_market
sigona_farmers_market	distance	6_miles
sigona_farmers_market	traffic_info	moderate_traffic
sigona_farmers_market	poi_type	grocery_store
sigona_farmers_market	address	638_amherst_st
