4_miles	moderate_traffic	pizza_restaurant
pizza_restaurant	poi	pizza_my_heart
pizza_my_heart	distance	4_miles
pizza_my_heart	traffic_info	moderate_traffic
pizza_my_heart	poi_type	pizza_restaurant
pizza_my_heart	address	528_anton_ct
2_miles	no_traffic	rest_stop
rest_stop	poi	four_seasons
four_seasons	distance	2_miles
four_seasons	traffic_info	no_traffic
four_seasons	poi_type	rest_stop
four_seasons	address	465_arcadia_pl
2_miles	heavy_traffic	parking_garage
parking_garage	poi	civic_center_garage
civic_center_garage	distance	2_miles
civic_center_garage	traffic_info	heavy_traffic
civic_center_garage	poi_type	parking_garage
civic_center_garage	address	270_altaire_walk
5_miles	heavy_traffic	certain_address
certain_address	poi	5677_springer_street
5677_springer_street	distance	5_miles
5677_springer_street	traffic_info	heavy_traffic
5677_springer_street	poi_type	certain_address
5677_springer_street	address	5677_springer_street
5_miles	heavy_traffic	gas_station
gas_station	poi	chevron
chevron	distance	5_miles
chevron	traffic_info	heavy_traffic
chevron	poi_type	gas_station
chevron	address	783_arcadia_pl
1_miles	heavy_traffic	gas_station
gas_station	poi	valero
valero	distance	1_miles
valero	traffic_info	heavy_traffic
valero	poi_type	gas_station
valero	address	200_alester_ave
6_miles	no_traffic	certain_address
certain_address	poi	5677_southwest_4th_street
5677_southwest_4th_street	distance	6_miles
5677_southwest_4th_street	traffic_info	no_traffic
5677_southwest_4th_street	poi_type	certain_address
5677_southwest_4th_street	address	5677_southwest_4th_street
