3_miles	car_collision_nearby	shopping_center
shopping_center	poi	topanga_mall
topanga_mall	distance	3_miles
topanga_mall	traffic_info	car_collision_nearby
topanga_mall	poi_type	shopping_center
topanga_mall	address	171_oak_rd
5_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	round_table
round_table	distance	5_miles
round_table	traffic_info	heavy_traffic
round_table	poi_type	pizza_restaurant
round_table	address	113_anton_ct
6_miles	no_traffic	shopping_center
shopping_center	poi	ravenswood_shopping_center
ravenswood_shopping_center	distance	6_miles
ravenswood_shopping_center	traffic_info	no_traffic
ravenswood_shopping_center	poi_type	shopping_center
ravenswood_shopping_center	address	434_arastradero_rd
5_miles	heavy_traffic	certain_address
certain_address	poi	5677_southwest_4th_street
5677_southwest_4th_street	distance	5_miles
5677_southwest_4th_street	traffic_info	heavy_traffic
5677_southwest_4th_street	poi_type	certain_address
5677_southwest_4th_street	address	5677_southwest_4th_street
6_miles	no_traffic	rest_stop
rest_stop	poi	hotel_keen
hotel_keen	distance	6_miles
hotel_keen	traffic_info	no_traffic
hotel_keen	poi_type	rest_stop
hotel_keen	address	578_arbol_dr
7_miles	heavy_traffic	gas_station
gas_station	poi	chevron
chevron	distance	7_miles
chevron	traffic_info	heavy_traffic
chevron	poi_type	gas_station
chevron	address	783_arcadia_pl
4_miles	heavy_traffic	gas_station
gas_station	poi	76
76	distance	4_miles
76	traffic_info	heavy_traffic
76	poi_type	gas_station
76	address	91_el_camino_real
4_miles	heavy_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	starbucks
starbucks	distance	4_miles
starbucks	traffic_info	heavy_traffic
starbucks	poi_type	coffee_or_tea_place
starbucks	address	792_bedoin_street
