3_miles	road_block_nearby	pizza_restaurant
pizza_restaurant	poi	round_table
round_table	distance	3_miles
round_table	traffic_info	road_block_nearby
round_table	poi_type	pizza_restaurant
round_table	address	113_anton_ct
2_miles	car_collision_nearby	rest_stop
rest_stop	poi	the_clement_hotel
the_clement_hotel	distance	2_miles
the_clement_hotel	traffic_info	car_collision_nearby
the_clement_hotel	poi_type	rest_stop
the_clement_hotel	address	657_ames_ave
4_miles	heavy_traffic	rest_stop
rest_stop	poi	four_seasons
four_seasons	distance	4_miles
four_seasons	traffic_info	heavy_traffic
four_seasons	poi_type	rest_stop
four_seasons	address	465_arcadia_pl
2_miles	heavy_traffic	chinese_restaurant
chinese_restaurant	poi	panda_express
panda_express	distance	2_miles
panda_express	traffic_info	heavy_traffic
panda_express	poi_type	chinese_restaurant
panda_express	address	842_arrowhead_way
4_miles	moderate_traffic	rest_stop
rest_stop	poi	travelers_lodge
travelers_lodge	distance	4_miles
travelers_lodge	traffic_info	moderate_traffic
travelers_lodge	poi_type	rest_stop
travelers_lodge	address	333_arbol_dr
2_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	pizza_hut
pizza_hut	distance	2_miles
pizza_hut	traffic_info	heavy_traffic
pizza_hut	poi_type	pizza_restaurant
pizza_hut	address	704_el_camino_real
2_miles	car_collision_nearby	shopping_center
shopping_center	poi	topanga_mall
topanga_mall	distance	2_miles
topanga_mall	traffic_info	car_collision_nearby
topanga_mall	poi_type	shopping_center
topanga_mall	address	171_oak_rd
4_miles	car_collision_nearby	shopping_center
shopping_center	poi	ravenswood_shopping_center
ravenswood_shopping_center	distance	4_miles
ravenswood_shopping_center	traffic_info	car_collision_nearby
ravenswood_shopping_center	poi_type	shopping_center
ravenswood_shopping_center	address	434_arastradero_rd
