2_miles	no_traffic	gas_station
gas_station	poi	valero
valero	distance	2_miles
valero	traffic_info	no_traffic
valero	poi_type	gas_station
valero	address	200_alester_ave
5_miles	heavy_traffic	chinese_restaurant
chinese_restaurant	poi	chef_chu_s
chef_chu_s	distance	5_miles
chef_chu_s	traffic_info	heavy_traffic
chef_chu_s	poi_type	chinese_restaurant
chef_chu_s	address	593_arrowhead_way
5_miles	moderate_traffic	certain_address
certain_address	poi	5677_southwest_4th_street
5677_southwest_4th_street	distance	5_miles
5677_southwest_4th_street	traffic_info	moderate_traffic
5677_southwest_4th_street	poi_type	certain_address
5677_southwest_4th_street	address	5677_southwest_4th_street
4_miles	heavy_traffic	friends_house
friends_house	poi	jills_house
jills_house	distance	4_miles
jills_house	traffic_info	heavy_traffic
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
4_miles	heavy_traffic	shopping_center
shopping_center	poi	town_and_country
town_and_country	distance	4_miles
town_and_country	traffic_info	heavy_traffic
town_and_country	poi_type	shopping_center
town_and_country	address	383_university_ave
6_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	pizza_chicago
pizza_chicago	distance	6_miles
pizza_chicago	traffic_info	heavy_traffic
pizza_chicago	poi_type	pizza_restaurant
pizza_chicago	address	915_arbol_dr
1_miles	moderate_traffic	chinese_restaurant
chinese_restaurant	poi	panda_express
panda_express	distance	1_miles
panda_express	traffic_info	moderate_traffic
panda_express	poi_type	chinese_restaurant
panda_express	address	842_arrowhead_way
