4_miles	no_traffic	chinese_restaurant
chinese_restaurant	poi	mandarin_roots
mandarin_roots	distance	4_miles
mandarin_roots	traffic_info	no_traffic
mandarin_roots	poi_type	chinese_restaurant
mandarin_roots	address	271_springer_street
6_miles	moderate_traffic	pizza_restaurant
pizza_restaurant	poi	pizza_my_heart
pizza_my_heart	distance	6_miles
pizza_my_heart	traffic_info	moderate_traffic
pizza_my_heart	poi_type	pizza_restaurant
pizza_my_heart	address	528_anton_ct
3_miles	heavy_traffic	parking_garage
parking_garage	poi	dish_parking
dish_parking	distance	3_miles
dish_parking	traffic_info	heavy_traffic
dish_parking	poi_type	parking_garage
dish_parking	address	550_alester_ave
3_miles	heavy_traffic	shopping_center
shopping_center	poi	stanford_shopping_center
stanford_shopping_center	distance	3_miles
stanford_shopping_center	traffic_info	heavy_traffic
stanford_shopping_center	poi_type	shopping_center
stanford_shopping_center	address	773_alger_dr
6_miles	moderate_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	coupa
coupa	distance	6_miles
coupa	traffic_info	moderate_traffic
coupa	poi_type	coffee_or_tea_place
coupa	address	394_van_ness_ave
1_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	dominos
dominos	distance	1_miles
dominos	traffic_info	heavy_traffic
dominos	poi_type	pizza_restaurant
dominos	address	776_arastradero_rd
3_miles	heavy_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	cafe_venetia
cafe_venetia	distance	3_miles
cafe_venetia	traffic_info	heavy_traffic
cafe_venetia	poi_type	coffee_or_tea_place
cafe_venetia	address	269_alger_dr
