1_miles	moderate_traffic	friends_house
friends_house	poi	toms_house
toms_house	distance	1_miles
toms_house	traffic_info	moderate_traffic
toms_house	poi_type	friends_house
toms_house	address	580_van_ness_ave
7_miles	car_collision_nearby	home
home	poi	home
home	distance	7_miles
home	traffic_info	car_collision_nearby
home	poi_type	home
home	address	10_ames_street
4_miles	road_block_nearby	grocery_store
grocery_store	poi	trader_joes
trader_joes	distance	4_miles
trader_joes	traffic_info	road_block_nearby
trader_joes	poi_type	grocery_store
trader_joes	address	408_university_ave
5_miles	no_traffic	grocery_store
grocery_store	poi	willows_market
willows_market	distance	5_miles
willows_market	traffic_info	no_traffic
willows_market	poi_type	grocery_store
willows_market	address	409_bollard_st
2_miles	road_block_nearby	rest_stop
rest_stop	poi	four_seasons
four_seasons	distance	2_miles
four_seasons	traffic_info	road_block_nearby
four_seasons	poi_type	rest_stop
four_seasons	address	465_arcadia_pl
2_miles	no_traffic	hospital
hospital	poi	stanford_childrens_health
stanford_childrens_health	distance	2_miles
stanford_childrens_health	traffic_info	no_traffic
stanford_childrens_health	poi_type	hospital
stanford_childrens_health	address	899_ames_ct
4_miles	heavy_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	coupa
coupa	distance	4_miles
coupa	traffic_info	heavy_traffic
coupa	poi_type	coffee_or_tea_place
coupa	address	394_van_ness_ave
3_miles	car_collision_nearby	grocery_store
grocery_store	poi	safeway
safeway	distance	3_miles
safeway	traffic_info	car_collision_nearby
safeway	poi_type	grocery_store
safeway	address	452_arcadia_pl
