7_miles	car_collision_nearby	hospital
hospital	poi	stanford_express_care
stanford_express_care	distance	7_miles
stanford_express_care	traffic_info	car_collision_nearby
stanford_express_care	poi_type	hospital
stanford_express_care	address	214_el_camino_real
5_miles	no_traffic	chinese_restaurant
chinese_restaurant	poi	jing_jing
jing_jing	distance	5_miles
jing_jing	traffic_info	no_traffic
jing_jing	poi_type	chinese_restaurant
jing_jing	address	113_arbol_dr
2_miles	road_block_nearby	parking_garage
parking_garage	poi	civic_center_garage
civic_center_garage	distance	2_miles
civic_center_garage	traffic_info	road_block_nearby
civic_center_garage	poi_type	parking_garage
civic_center_garage	address	270_altaire_walk
4_miles	moderate_traffic	gas_station
gas_station	poi	valero
valero	distance	4_miles
valero	traffic_info	moderate_traffic
valero	poi_type	gas_station
valero	address	200_alester_ave
3_miles	road_block_nearby	grocery_store
grocery_store	poi	whole_foods
whole_foods	distance	3_miles
whole_foods	traffic_info	road_block_nearby
whole_foods	poi_type	grocery_store
whole_foods	address	819_alma_st
6_miles	moderate_traffic	gas_station
gas_station	poi	shell
shell	distance	6_miles
shell	traffic_info	moderate_traffic
shell	poi_type	gas_station
shell	address	53_university_av
2_miles	no_traffic	friends_house
friends_house	poi	jacks_house
jacks_house	distance	2_miles
jacks_house	traffic_info	no_traffic
jacks_house	poi_type	friends_house
jacks_house	address	864_almanor_ln
1_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	1_miles
papa_johns	traffic_info	heavy_traffic
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
