4_miles	no_traffic	home
home	poi	home
home	distance	4_miles
home	traffic_info	no_traffic
home	poi_type	home
home	address	56_cadwell_street
2_miles	moderate_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	cafe_venetia
cafe_venetia	distance	2_miles
cafe_venetia	traffic_info	moderate_traffic
cafe_venetia	poi_type	coffee_or_tea_place
cafe_venetia	address	269_alger_dr
6_miles	moderate_traffic	chinese_restaurant
chinese_restaurant	poi	p_._f_._changs
p_._f_._changs	distance	6_miles
p_._f_._changs	traffic_info	moderate_traffic
p_._f_._changs	poi_type	chinese_restaurant
p_._f_._changs	address	669_el_camino_real
1_miles	moderate_traffic	chinese_restaurant
chinese_restaurant	poi	panda_express
panda_express	distance	1_miles
panda_express	traffic_info	moderate_traffic
panda_express	poi_type	chinese_restaurant
panda_express	address	842_arrowhead_way
3_miles	moderate_traffic	certain_address
certain_address	poi	5672_barringer_street
5672_barringer_street	distance	3_miles
5672_barringer_street	traffic_info	moderate_traffic
5672_barringer_street	poi_type	certain_address
5672_barringer_street	address	5672_barringer_street
3_miles	moderate_traffic	rest_stop
rest_stop	poi	the_westin
the_westin	distance	3_miles
the_westin	traffic_info	moderate_traffic
the_westin	poi_type	rest_stop
the_westin	address	329_el_camino_real
3_miles	moderate_traffic	shopping_center
shopping_center	poi	town_and_country
town_and_country	distance	3_miles
town_and_country	traffic_info	moderate_traffic
town_and_country	poi_type	shopping_center
town_and_country	address	383_university_ave
