3_miles	car_collision_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	palo_alto_cafe
palo_alto_cafe	distance	3_miles
palo_alto_cafe	traffic_info	car_collision_nearby
palo_alto_cafe	poi_type	coffee_or_tea_place
palo_alto_cafe	address	436_alger_dr
1_miles	road_block_nearby	pizza_restaurant
pizza_restaurant	poi	round_table
round_table	distance	1_miles
round_table	traffic_info	road_block_nearby
round_table	poi_type	pizza_restaurant
round_table	address	113_anton_ct
4_miles	road_block_nearby	home
home	poi	home
home	distance	4_miles
home	traffic_info	road_block_nearby
home	poi_type	home
home	address	56_cadwell_street
5_miles	road_block_nearby	shopping_center
shopping_center	poi	midtown_shopping_center
midtown_shopping_center	distance	5_miles
midtown_shopping_center	traffic_info	road_block_nearby
midtown_shopping_center	poi_type	shopping_center
midtown_shopping_center	address	338_alester_ave
1_miles	no_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	cafe_venetia
cafe_venetia	distance	1_miles
cafe_venetia	traffic_info	no_traffic
cafe_venetia	poi_type	coffee_or_tea_place
cafe_venetia	address	269_alger_dr
5_miles	no_traffic	grocery_store
grocery_store	poi	sigona_farmers_market
sigona_farmers_market	distance	5_miles
sigona_farmers_market	traffic_info	no_traffic
sigona_farmers_market	poi_type	grocery_store
sigona_farmers_market	address	638_amherst_st
4_miles	road_block_nearby	certain_address
certain_address	poi	5677_springer_street
5677_springer_street	distance	4_miles
5677_springer_street	traffic_info	road_block_nearby
5677_springer_street	poi_type	certain_address
5677_springer_street	address	5677_springer_street
1_miles	moderate_traffic	friends_house
friends_house	poi	jacks_house
jacks_house	distance	1_miles
jacks_house	traffic_info	moderate_traffic
jacks_house	poi_type	friends_house
jacks_house	address	864_almanor_ln
