1_miles	heavy_traffic	chinese_restaurant
chinese_restaurant	poi	panda_express
panda_express	distance	1_miles
panda_express	traffic_info	heavy_traffic
panda_express	poi_type	chinese_restaurant
panda_express	address	842_arrowhead_way
4_miles	no_traffic	pizza_restaurant
pizza_restaurant	poi	pizza_my_heart
pizza_my_heart	distance	4_miles
pizza_my_heart	traffic_info	no_traffic
pizza_my_heart	poi_type	pizza_restaurant
pizza_my_heart	address	528_anton_ct
2_miles	moderate_traffic	hospital
hospital	poi	stanford_express_care
stanford_express_care	distance	2_miles
stanford_express_care	traffic_info	moderate_traffic
stanford_express_care	poi_type	hospital
stanford_express_care	address	214_el_camino_real
6_miles	moderate_traffic	home
home	poi	home
home	distance	6_miles
home	traffic_info	moderate_traffic
home	poi_type	home
home	address	5671_barringer_street
2_miles	no_traffic	shopping_center
shopping_center	poi	ravenswood_shopping_center
ravenswood_shopping_center	distance	2_miles
ravenswood_shopping_center	traffic_info	no_traffic
ravenswood_shopping_center	poi_type	shopping_center
ravenswood_shopping_center	address	434_arastradero_rd
5_miles	moderate_traffic	home
home	poi	home
home	distance	5_miles
home	traffic_info	moderate_traffic
home	poi_type	home
home	address	56_cadwell_street
6_miles	moderate_traffic	certain_address
certain_address	poi	5677_southwest_4th_street
5677_southwest_4th_street	distance	6_miles
5677_southwest_4th_street	traffic_info	moderate_traffic
5677_southwest_4th_street	poi_type	certain_address
5677_southwest_4th_street	address	5677_southwest_4th_street
