7_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	dominos
dominos	distance	7_miles
dominos	traffic_info	heavy_traffic
dominos	poi_type	pizza_restaurant
dominos	address	776_arastradero_rd
5_miles	car_collision_nearby	rest_stop
rest_stop	poi	comfort_inn
comfort_inn	distance	5_miles
comfort_inn	traffic_info	car_collision_nearby
comfort_inn	poi_type	rest_stop
comfort_inn	address	753_university_ave
4_miles	moderate_traffic	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	4_miles
papa_johns	traffic_info	moderate_traffic
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
5_miles	no_traffic	grocery_store
grocery_store	poi	sigona_farmers_market
sigona_farmers_market	distance	5_miles
sigona_farmers_market	traffic_info	no_traffic
sigona_farmers_market	poi_type	grocery_store
sigona_farmers_market	address	638_amherst_st
5_miles	road_block_nearby	home
home	poi	home
home	distance	5_miles
home	traffic_info	road_block_nearby
home	poi_type	home
home	address	10_ames_street
5_miles	moderate_traffic	hospital
hospital	poi	stanford_express_care
stanford_express_care	distance	5_miles
stanford_express_care	traffic_info	moderate_traffic
stanford_express_care	poi_type	hospital
stanford_express_care	address	214_el_camino_real
3_miles	car_collision_nearby	shopping_center
shopping_center	poi	midtown_shopping_center
midtown_shopping_center	distance	3_miles
midtown_shopping_center	traffic_info	car_collision_nearby
midtown_shopping_center	poi_type	shopping_center
midtown_shopping_center	address	338_alester_ave
6_miles	road_block_nearby	shopping_center
shopping_center	poi	topanga_mall
topanga_mall	distance	6_miles
topanga_mall	traffic_info	road_block_nearby
topanga_mall	poi_type	shopping_center
topanga_mall	address	171_oak_rd
