5_miles	road_block_nearby	home
home	poi	home
home	distance	5_miles
home	traffic_info	road_block_nearby
home	poi_type	home
home	address	5671_barringer_street
4_miles	moderate_traffic	friends_house
friends_house	poi	toms_house
toms_house	distance	4_miles
toms_house	traffic_info	moderate_traffic
toms_house	poi_type	friends_house
toms_house	address	580_van_ness_ave
3_miles	car_collision_nearby	shopping_center
shopping_center	poi	stanford_shopping_center
stanford_shopping_center	distance	3_miles
stanford_shopping_center	traffic_info	car_collision_nearby
stanford_shopping_center	poi_type	shopping_center
stanford_shopping_center	address	773_alger_dr
6_miles	no_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	philz
philz	distance	6_miles
philz	traffic_info	no_traffic
philz	poi_type	coffee_or_tea_place
philz	address	583_alester_ave
6_miles	no_traffic	certain_address
certain_address	poi	5672_barringer_street
5672_barringer_street	distance	6_miles
5672_barringer_street	traffic_info	no_traffic
5672_barringer_street	poi_type	certain_address
5672_barringer_street	address	5672_barringer_street
4_miles	no_traffic	grocery_store
grocery_store	poi	trader_joes
trader_joes	distance	4_miles
trader_joes	traffic_info	no_traffic
trader_joes	poi_type	grocery_store
trader_joes	address	408_university_ave
6_miles	moderate_traffic	parking_garage
parking_garage	poi	dish_parking
dish_parking	distance	6_miles
dish_parking	traffic_info	moderate_traffic
dish_parking	poi_type	parking_garage
dish_parking	address	550_alester_ave
6_miles	no_traffic	grocery_store
grocery_store	poi	safeway
safeway	distance	6_miles
safeway	traffic_info	no_traffic
safeway	poi_type	grocery_store
safeway	address	452_arcadia_pl
