7_miles	car_collision_nearby	grocery_store
grocery_store	poi	safeway
safeway	distance	7_miles
safeway	traffic_info	car_collision_nearby
safeway	poi_type	grocery_store
safeway	address	452_arcadia_pl
5_miles	heavy_traffic	chinese_restaurant
chinese_restaurant	poi	p_._f_._changs
p_._f_._changs	distance	5_miles
p_._f_._changs	traffic_info	heavy_traffic
p_._f_._changs	poi_type	chinese_restaurant
p_._f_._changs	address	669_el_camino_real
5_miles	road_block_nearby	hospital
hospital	poi	stanford_childrens_health
stanford_childrens_health	distance	5_miles
stanford_childrens_health	traffic_info	road_block_nearby
stanford_childrens_health	poi_type	hospital
stanford_childrens_health	address	899_ames_ct
6_miles	heavy_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	philz
philz	distance	6_miles
philz	traffic_info	heavy_traffic
philz	poi_type	coffee_or_tea_place
philz	address	583_alester_ave
5_miles	moderate_traffic	chinese_restaurant
chinese_restaurant	poi	panda_express
panda_express	distance	5_miles
panda_express	traffic_info	moderate_traffic
panda_express	poi_type	chinese_restaurant
panda_express	address	842_arrowhead_way
6_miles	road_block_nearby	home
home	poi	home
home	distance	6_miles
home	traffic_info	road_block_nearby
home	poi_type	home
home	address	10_ames_street
1_miles	road_block_nearby	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	1_miles
papa_johns	traffic_info	road_block_nearby
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
1_miles	road_block_nearby	gas_station
gas_station	poi	76
76	distance	1_miles
76	traffic_info	road_block_nearby
76	poi_type	gas_station
76	address	91_el_camino_real
