3_miles	moderate_traffic	rest_stop
rest_stop	poi	travelers_lodge
travelers_lodge	distance	3_miles
travelers_lodge	traffic_info	moderate_traffic
travelers_lodge	poi_type	rest_stop
travelers_lodge	address	333_arbol_dr
1_miles	car_collision_nearby	pizza_restaurant
pizza_restaurant	poi	pizza_chicago
pizza_chicago	distance	1_miles
pizza_chicago	traffic_info	car_collision_nearby
pizza_chicago	poi_type	pizza_restaurant
pizza_chicago	address	915_arbol_dr
5_miles	no_traffic	rest_stop
rest_stop	poi	hotel_keen
hotel_keen	distance	5_miles
hotel_keen	traffic_info	no_traffic
hotel_keen	poi_type	rest_stop
hotel_keen	address	578_arbol_dr
1_miles	heavy_traffic	shopping_center
shopping_center	poi	ravenswood_shopping_center
ravenswood_shopping_center	distance	1_miles
ravenswood_shopping_center	traffic_info	heavy_traffic
ravenswood_shopping_center	poi_type	shopping_center
ravenswood_shopping_center	address	434_arastradero_rd
4_miles	heavy_traffic	parking_garage
parking_garage	poi	palo_alto_garage_r
palo_alto_garage_r	distance	4_miles
palo_alto_garage_r	traffic_info	heavy_traffic
palo_alto_garage_r	poi_type	parking_garage
palo_alto_garage_r	address	481_amaranta_ave
4_miles	heavy_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	cafe_venetia
cafe_venetia	distance	4_miles
cafe_venetia	traffic_info	heavy_traffic
cafe_venetia	poi_type	coffee_or_tea_place
cafe_venetia	address	269_alger_dr
4_miles	no_traffic	chinese_restaurant
chinese_restaurant	poi	panda_express
panda_express	distance	4_miles
panda_express	traffic_info	no_traffic
panda_express	poi_type	chinese_restaurant
panda_express	address	842_arrowhead_way
2_miles	no_traffic	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	2_miles
papa_johns	traffic_info	no_traffic
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
