2_miles	heavy_traffic	friends_house
friends_house	poi	jills_house
jills_house	distance	2_miles
jills_house	traffic_info	heavy_traffic
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
3_miles	road_block_nearby	grocery_store
grocery_store	poi	hacienda_market
hacienda_market	distance	3_miles
hacienda_market	traffic_info	road_block_nearby
hacienda_market	poi_type	grocery_store
hacienda_market	address	1313_chester_ave
5_miles	no_traffic	grocery_store
grocery_store	poi	willows_market
willows_market	distance	5_miles
willows_market	traffic_info	no_traffic
willows_market	poi_type	grocery_store
willows_market	address	409_bollard_st
6_miles	car_collision_nearby	rest_stop
rest_stop	poi	four_seasons
four_seasons	distance	6_miles
four_seasons	traffic_info	car_collision_nearby
four_seasons	poi_type	rest_stop
four_seasons	address	465_arcadia_pl
5_miles	car_collision_nearby	gas_station
gas_station	poi	76
76	distance	5_miles
76	traffic_info	car_collision_nearby
76	poi_type	gas_station
76	address	91_el_camino_real
7_miles	no_traffic	chinese_restaurant
chinese_restaurant	poi	p_._f_._changs
p_._f_._changs	distance	7_miles
p_._f_._changs	traffic_info	no_traffic
p_._f_._changs	poi_type	chinese_restaurant
p_._f_._changs	address	669_el_camino_real
1_miles	car_collision_nearby	certain_address
certain_address	poi	5677_springer_street
5677_springer_street	distance	1_miles
5677_springer_street	traffic_info	car_collision_nearby
5677_springer_street	poi_type	certain_address
5677_springer_street	address	5677_springer_street
1_miles	road_block_nearby	home
home	poi	home
home	distance	1_miles
home	traffic_info	road_block_nearby
home	poi_type	home
home	address	10_ames_street
