3_miles	no_traffic	friends_house
friends_house	poi	jills_house
jills_house	distance	3_miles
jills_house	traffic_info	no_traffic
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
4_miles	road_block_nearby	shopping_center
shopping_center	poi	topanga_mall
topanga_mall	distance	4_miles
topanga_mall	traffic_info	road_block_nearby
topanga_mall	poi_type	shopping_center
topanga_mall	address	171_oak_rd
5_miles	heavy_traffic	parking_garage
parking_garage	poi	webster_garage
webster_garage	distance	5_miles
webster_garage	traffic_info	heavy_traffic
webster_garage	poi_type	parking_garage
webster_garage	address	880_ames_ct
1_miles	moderate_traffic	shopping_center
shopping_center	poi	stanford_shopping_center
stanford_shopping_center	distance	1_miles
stanford_shopping_center	traffic_info	moderate_traffic
stanford_shopping_center	poi_type	shopping_center
stanford_shopping_center	address	773_alger_dr
1_miles	car_collision_nearby	hospital
hospital	poi	stanford_express_care
stanford_express_care	distance	1_miles
stanford_express_care	traffic_info	car_collision_nearby
stanford_express_care	poi_type	hospital
stanford_express_care	address	214_el_camino_real
6_miles	moderate_traffic	parking_garage
parking_garage	poi	stanford_oval_parking
stanford_oval_parking	distance	6_miles
stanford_oval_parking	traffic_info	moderate_traffic
stanford_oval_parking	poi_type	parking_garage
stanford_oval_parking	address	610_amarillo_ave
5_miles	heavy_traffic	certain_address
certain_address	poi	5672_barringer_street
5672_barringer_street	distance	5_miles
5672_barringer_street	traffic_info	heavy_traffic
5672_barringer_street	poi_type	certain_address
5672_barringer_street	address	5672_barringer_street
2_miles	heavy_traffic	shopping_center
shopping_center	poi	ravenswood_shopping_center
ravenswood_shopping_center	distance	2_miles
ravenswood_shopping_center	traffic_info	heavy_traffic
ravenswood_shopping_center	poi_type	shopping_center
ravenswood_shopping_center	address	434_arastradero_rd
