5_miles	moderate_traffic	parking_garage
parking_garage	poi	stanford_oval_parking
stanford_oval_parking	distance	5_miles
stanford_oval_parking	traffic_info	moderate_traffic
stanford_oval_parking	poi_type	parking_garage
stanford_oval_parking	address	610_amarillo_ave
3_miles	car_collision_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	cafe_venetia
cafe_venetia	distance	3_miles
cafe_venetia	traffic_info	car_collision_nearby
cafe_venetia	poi_type	coffee_or_tea_place
cafe_venetia	address	269_alger_dr
1_miles	road_block_nearby	gas_station
gas_station	poi	valero
valero	distance	1_miles
valero	traffic_info	road_block_nearby
valero	poi_type	gas_station
valero	address	200_alester_ave
7_miles	road_block_nearby	gas_station
gas_station	poi	76
76	distance	7_miles
76	traffic_info	road_block_nearby
76	poi_type	gas_station
76	address	91_el_camino_real
1_miles	car_collision_nearby	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	1_miles
papa_johns	traffic_info	car_collision_nearby
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
3_miles	heavy_traffic	friends_house
friends_house	poi	jills_house
jills_house	distance	3_miles
jills_house	traffic_info	heavy_traffic
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
6_miles	car_collision_nearby	pizza_restaurant
pizza_restaurant	poi	dominos
dominos	distance	6_miles
dominos	traffic_info	car_collision_nearby
dominos	poi_type	pizza_restaurant
dominos	address	776_arastradero_rd
4_miles	road_block_nearby	grocery_store
grocery_store	poi	hacienda_market
hacienda_market	distance	4_miles
hacienda_market	traffic_info	road_block_nearby
hacienda_market	poi_type	grocery_store
hacienda_market	address	1313_chester_ave
