Argentina	coach	Lionel Scaloni
Argentina	captain	Lionel Messi
Argentina	world cup appearance	17 (first in 1930)
Argentina	number of world cup champion	2
Argentina	world cup Champions	1978
Argentina	world cup Champions	 1986
Argentina	defender	Gabriel Mercado
Argentina	has player	Gabriel Mercado
Gabriel Mercado	position	defender
Gabriel Mercado	goals	4
Gabriel Mercado	caps	25
Gabriel Mercado	age	32
Gabriel Mercado	jersey	2
Argentina	defender	Nicolas Tagliafico
Argentina	has player	Nicolas Tagliafico
Nicolas Tagliafico	position	defender
Nicolas Tagliafico	goals	0
Nicolas Tagliafico	caps	13
Nicolas Tagliafico	age	26
Nicolas Tagliafico	jersey	3
Argentina	defender	German Pezzella
Argentina	has player	German Pezzella
German Pezzella	position	defender
German Pezzella	goals	1
German Pezzella	caps	6
German Pezzella	age	27
German Pezzella	jersey	6
Argentina	defender	Marcos Acuna
Argentina	has player	Marcos Acuna
Marcos Acuna	position	defender
Marcos Acuna	goals	0
Marcos Acuna	caps	16
Marcos Acuna	age	27
Marcos Acuna	jersey	8
Argentina	midfielder	Leandro Paredes
Argentina	has player	Leandro Paredes
Leandro Paredes	position	midfielder
Leandro Paredes	goals	1
Leandro Paredes	caps	10
Leandro Paredes	age	24
Leandro Paredes	jersey	5
Argentina	midfielder	Roberto Pereyra
Argentina	has player	Roberto Pereyra
Roberto Pereyra	position	midfielder
Roberto Pereyra	goals	1
Roberto Pereyra	caps	14
Roberto Pereyra	age	28
Roberto Pereyra	jersey	7
Argentina	midfielder	Giovani Lo Celso
Argentina	has player	Giovani Lo Celso
Giovani Lo Celso	position	midfielder
Giovani Lo Celso	goals	1
Giovani Lo Celso	caps	11
Giovani Lo Celso	age	22
Giovani Lo Celso	jersey	20
Argentina	forward	Dario Benedetto
Argentina	has player	Dario Benedetto
Dario Benedetto	position	forward
Dario Benedetto	goals	0
Dario Benedetto	caps	5
Dario Benedetto	age	28
Dario Benedetto	jersey	9
Argentina	forward	Angel Correa
Argentina	has player	Angel Correa
Angel Correa	position	forward
Angel Correa	goals	1
Angel Correa	caps	10
Angel Correa	age	24
Angel Correa	jersey	11
Argentina	forward	Paulo Dybala
Argentina	has player	Paulo Dybala
Paulo Dybala	position	forward
Paulo Dybala	goals	1
Paulo Dybala	caps	18
Paulo Dybala	age	25
Paulo Dybala	jersey	21
Argentina	forward	Lautaro Martinez
Argentina	has player	Lautaro Martinez
Lautaro Martinez	position	forward
Lautaro Martinez	goals	2
Lautaro Martinez	caps	5
Lautaro Martinez	age	21
Lautaro Martinez	jersey	22
Argentina	defender	Nicolas Otamendi
Argentina	has player	Nicolas Otamendi
Nicolas Otamendi	position	defender
Nicolas Otamendi	goals	4
Nicolas Otamendi	caps	59
Nicolas Otamendi	age	31
Argentina	defender	Marcos Rojo
Argentina	has player	Marcos Rojo
Marcos Rojo	position	defender
Marcos Rojo	goals	3
Marcos Rojo	caps	59
Marcos Rojo	age	29
Argentina	midfielder	Angel Di Maria
Argentina	has player	Angel Di Maria
Angel Di Maria	position	midfielder
Angel Di Maria	goals	20
Angel Di Maria	caps	97
Angel Di Maria	age	31
Argentina	midfielder	Ever Banega
Argentina	has player	Ever Banega
Ever Banega	position	midfielder
Ever Banega	goals	6
Ever Banega	caps	65
Ever Banega	age	30
Argentina	forward	Lionel Messi
Argentina	has player	Lionel Messi
Lionel Messi	position	forward
Lionel Messi	goals	65
Lionel Messi	caps	129
Lionel Messi	age	31
Argentina	forward	Sergio Aguero
Argentina	has player	Sergio Aguero
Sergio Aguero	position	forward
Sergio Aguero	goals	39
Sergio Aguero	caps	89
Sergio Aguero	age	30
Argentina	forward	Gonzalo Higuain
Argentina	has player	Gonzalo Higuain
Gonzalo Higuain	position	forward
Gonzalo Higuain	goals	31
Gonzalo Higuain	caps	75
Gonzalo Higuain	age	31
