Belgium	coach	Roberto Martínez
Belgium	captain	Eden Hazard
Belgium	world cup appearance	13 (first in 1930)
Belgium	number of world cup champion	0
Belgium	world cup Third place	2018
Belgium	goalkeeper	Thibaut Courtois
Belgium	has player	Thibaut Courtois
Thibaut Courtois	position	goalkeeper
Thibaut Courtois	goals	0
Thibaut Courtois	caps	71
Thibaut Courtois	age	26
Thibaut Courtois	jersey	1
Belgium	goalkeeper	Simon Mignolet
Belgium	has player	Simon Mignolet
Simon Mignolet	position	goalkeeper
Simon Mignolet	goals	0
Simon Mignolet	caps	22
Simon Mignolet	age	31
Simon Mignolet	jersey	12
Belgium	defender	Jan Vertonghen
Belgium	has player	Jan Vertonghen
Jan Vertonghen	position	defender
Jan Vertonghen	goals	9
Jan Vertonghen	caps	111
Jan Vertonghen	age	31
Jan Vertonghen	jersey	5
Belgium	defender	Toby Alderweireld
Belgium	has player	Toby Alderweireld
Toby Alderweireld	position	defender
Toby Alderweireld	goals	3
Toby Alderweireld	caps	89
Toby Alderweireld	age	30
Toby Alderweireld	jersey	2
Belgium	defender	Thomas Vermaelen
Belgium	has player	Thomas Vermaelen
Thomas Vermaelen	position	defender
Thomas Vermaelen	goals	1
Thomas Vermaelen	caps	71
Thomas Vermaelen	age	33
Thomas Vermaelen	jersey	3
Belgium	defender	Jason Denayer
Belgium	has player	Jason Denayer
Jason Denayer	position	defender
Jason Denayer	goals	0
Jason Denayer	caps	10
Jason Denayer	age	23
Jason Denayer	jersey	4
Belgium	midfielder	Nacer Chadli
Belgium	has player	Nacer Chadli
Nacer Chadli	position	midfielder
Nacer Chadli	goals	6
Nacer Chadli	caps	56
Nacer Chadli	age	29
Nacer Chadli	jersey	22
Belgium	midfielder	Yannick Carrasco
Belgium	has player	Yannick Carrasco
Yannick Carrasco	position	midfielder
Yannick Carrasco	goals	5
Yannick Carrasco	caps	34
Yannick Carrasco	age	25
Yannick Carrasco	jersey	11
Belgium	midfielder	Youri Tielemans
Belgium	has player	Youri Tielemans
Youri Tielemans	position	midfielder
Youri Tielemans	goals	1
Youri Tielemans	caps	20
Youri Tielemans	age	21
Youri Tielemans	jersey	8
Belgium	midfielder	Adnan Januzaj
Belgium	has player	Adnan Januzaj
Adnan Januzaj	position	midfielder
Adnan Januzaj	goals	1
Adnan Januzaj	caps	10
Adnan Januzaj	age	24
Adnan Januzaj	jersey	18
Belgium	midfielder	Leander Dendoncker
Belgium	has player	Leander Dendoncker
Leander Dendoncker	position	midfielder
Leander Dendoncker	goals	0
Leander Dendoncker	caps	7
Leander Dendoncker	age	23
Leander Dendoncker	jersey	6
Belgium	forward	Eden Hazard 
Belgium	has player	Eden Hazard 
Eden Hazard 	position	forward
Eden Hazard 	goals	29
Eden Hazard 	caps	99
Eden Hazard 	age	28
Eden Hazard 	jersey	10
Belgium	forward	Dries Mertens
Belgium	has player	Dries Mertens
Dries Mertens	position	forward
Dries Mertens	goals	16
Dries Mertens	caps	82
Dries Mertens	age	31
Dries Mertens	jersey	14
Belgium	forward	Christian Benteke
Belgium	has player	Christian Benteke
Christian Benteke	position	forward
Christian Benteke	goals	12
Christian Benteke	caps	34
Christian Benteke	age	28
Christian Benteke	jersey	20
Belgium	forward	Divock Origi
Belgium	has player	Divock Origi
Divock Origi	position	forward
Divock Origi	goals	3
Divock Origi	caps	26
Divock Origi	age	23
Divock Origi	jersey	17
Belgium	forward	Michy Batshuayi
Belgium	has player	Michy Batshuayi
Michy Batshuayi	position	forward
Michy Batshuayi	goals	12
Michy Batshuayi	caps	24
Michy Batshuayi	age	25
Michy Batshuayi	jersey	23
Belgium	forward	Thorgan Hazard
Belgium	has player	Thorgan Hazard
Thorgan Hazard	position	forward
Thorgan Hazard	goals	3
Thorgan Hazard	caps	20
Thorgan Hazard	age	25
Thorgan Hazard	jersey	16
Belgium	defender	Vincent Kompany
Belgium	has player	Vincent Kompany
Vincent Kompany	position	defender
Vincent Kompany	goals	4
Vincent Kompany	caps	87
Vincent Kompany	age	32
Belgium	midfielder	Mousa Dembele
Belgium	has player	Mousa Dembele
Mousa Dembele	position	midfielder
Mousa Dembele	goals	5
Mousa Dembele	caps	82
Mousa Dembele	age	31
Belgium	midfielder	Axel Witsel
Belgium	has player	Axel Witsel
Axel Witsel	position	midfielder
Axel Witsel	goals	9
Axel Witsel	caps	101
Axel Witsel	age	30
Belgium	midfielder	Kevin De Bruyne
Belgium	has player	Kevin De Bruyne
Kevin De Bruyne	position	midfielder
Kevin De Bruyne	goals	15
Kevin De Bruyne	caps	68
Kevin De Bruyne	age	27
Belgium	forward	Romelu Lukaku
Belgium	has player	Romelu Lukaku
Romelu Lukaku	position	forward
Romelu Lukaku	goals	45
Romelu Lukaku	caps	79
Romelu Lukaku	age	25
Belgium	forward	Kevin Mirallas
Belgium	has player	Kevin Mirallas
Kevin Mirallas	position	forward
Kevin Mirallas	goals	10
Kevin Mirallas	caps	60
Kevin Mirallas	age	31
