Brazil	coach	Adenor Leonardo Bacchi
Brazil	captain	Neymar
Brazil	world cup appearance	21 (first in 1930)
Brazil	number of world cup champion	5
Brazil	world cup Champions	1958
Brazil	world cup Champions	 1962
Brazil	world cup Champions	 1970
Brazil	world cup Champions	 1994
Brazil	world cup Champions	 2002
Brazil	goalkeeper	Alisson
Brazil	has player	Alisson
Alisson	position	goalkeeper
Alisson	goals	0
Alisson	caps	34
Alisson	age	26
Alisson	jersey	1
Brazil	defender	Thiago Silva
Brazil	has player	Thiago Silva
Thiago Silva	position	defender
Thiago Silva	goals	6
Thiago Silva	caps	77
Thiago Silva	age	34
Thiago Silva	jersey	2
Brazil	defender	Miranda
Brazil	has player	Miranda
Miranda	position	defender
Miranda	goals	3
Miranda	caps	55
Miranda	age	34
Miranda	jersey	3
Brazil	defender	Marquinhos
Brazil	has player	Marquinhos
Marquinhos	position	defender
Marquinhos	goals	1
Marquinhos	caps	33
Marquinhos	age	24
Marquinhos	jersey	4
Brazil	defender	Danilo
Brazil	has player	Danilo
Danilo	position	defender
Danilo	goals	0
Danilo	caps	22
Danilo	age	27
Danilo	jersey	13
Brazil	defender	Alex Sandro
Brazil	has player	Alex Sandro
Alex Sandro	position	defender
Alex Sandro	goals	1
Alex Sandro	caps	13
Alex Sandro	age	28
Alex Sandro	jersey	12
Brazil	defender	Fagner
Brazil	has player	Fagner
Fagner	position	defender
Fagner	goals	0
Fagner	caps	9
Fagner	age	29
Fagner	jersey	14
Brazil	midfielder	Philippe Coutinho
Brazil	has player	Philippe Coutinho
Philippe Coutinho	position	midfielder
Philippe Coutinho	goals	13
Philippe Coutinho	caps	46
Philippe Coutinho	age	26
Philippe Coutinho	jersey	11
Brazil	midfielder	Casemiro 
Brazil	has player	Casemiro 
Casemiro 	position	midfielder
Casemiro 	goals	0
Casemiro 	caps	33
Casemiro 	age	27
Casemiro 	jersey	5
Brazil	midfielder	Fabinho
Brazil	has player	Fabinho
Fabinho	position	midfielder
Fabinho	goals	0
Fabinho	caps	7
Fabinho	age	25
Fabinho	jersey	15
Brazil	midfielder	Arthur
Brazil	has player	Arthur
Arthur	position	midfielder
Arthur	goals	0
Arthur	caps	7
Arthur	age	22
Arthur	jersey	8
Brazil	forward	Roberto Firmino
Brazil	has player	Roberto Firmino
Roberto Firmino	position	forward
Roberto Firmino	goals	8
Roberto Firmino	caps	30
Roberto Firmino	age	27
Roberto Firmino	jersey	20
Brazil	forward	Gabriel Jesus
Brazil	has player	Gabriel Jesus
Gabriel Jesus	position	forward
Gabriel Jesus	goals	11
Gabriel Jesus	caps	26
Gabriel Jesus	age	21
Gabriel Jesus	jersey	9
Brazil	forward	Richarlison
Brazil	has player	Richarlison
Richarlison	position	forward
Richarlison	goals	3
Richarlison	caps	7
Richarlison	age	21
Richarlison	jersey	21
Brazil	defender	Dani Alves
Brazil	has player	Dani Alves
Dani Alves	position	defender
Dani Alves	goals	7
Dani Alves	caps	107
Dani Alves	age	35
Brazil	defender	Marcelo
Brazil	has player	Marcelo
Marcelo	position	defender
Marcelo	goals	6
Marcelo	caps	58
Marcelo	age	30
Brazil	midfielder	Willian
Brazil	has player	Willian
Willian	position	midfielder
Willian	goals	8
Willian	caps	65
Willian	age	30
Brazil	midfielder	Paulinho
Brazil	has player	Paulinho
Paulinho	position	midfielder
Paulinho	goals	13
Paulinho	caps	56
Paulinho	age	30
Brazil	forward	Neymar 
Brazil	has player	Neymar 
Neymar 	position	forward
Neymar 	goals	60
Neymar 	caps	96
Neymar 	age	27
