Colombia	coach	Carlos Queiroz
Colombia	captain	Radamel Falcao
Colombia	world cup appearance	6 (first in 1962)
Colombia	number of world cup champion	0
Colombia	world cup Quarter-finals	2014
Colombia	goalkeeper	Camilo Vargas
Colombia	has player	Camilo Vargas
Camilo Vargas	position	goalkeeper
Camilo Vargas	goals	0
Camilo Vargas	caps	6
Camilo Vargas	age	30
Camilo Vargas	jersey	12
Colombia	defender	Jeison Murillo
Colombia	has player	Jeison Murillo
Jeison Murillo	position	defender
Jeison Murillo	goals	1
Jeison Murillo	caps	27
Jeison Murillo	age	26
Jeison Murillo	jersey	22
Colombia	defender	Davinson Sanchez
Colombia	has player	Davinson Sanchez
Davinson Sanchez	position	defender
Davinson Sanchez	goals	0
Davinson Sanchez	caps	18
Davinson Sanchez	age	22
Davinson Sanchez	jersey	23
Colombia	defender	Yerry Mina
Colombia	has player	Yerry Mina
Yerry Mina	position	defender
Yerry Mina	goals	6
Yerry Mina	caps	16
Yerry Mina	age	24
Yerry Mina	jersey	13
Colombia	midfielder	James Rodriguez 
Colombia	has player	James Rodriguez 
James Rodriguez 	position	midfielder
James Rodriguez 	goals	22
James Rodriguez 	caps	69
James Rodriguez 	age	27
James Rodriguez 	jersey	10
Colombia	midfielder	Wilmar Barrios
Colombia	has player	Wilmar Barrios
Wilmar Barrios	position	midfielder
Wilmar Barrios	goals	0
Wilmar Barrios	caps	18
Wilmar Barrios	age	25
Wilmar Barrios	jersey	5
Colombia	midfielder	Mateus Uribe
Colombia	has player	Mateus Uribe
Mateus Uribe	position	midfielder
Mateus Uribe	goals	0
Mateus Uribe	caps	16
Mateus Uribe	age	28
Mateus Uribe	jersey	15
Colombia	midfielder	Jefferson Lerma
Colombia	has player	Jefferson Lerma
Jefferson Lerma	position	midfielder
Jefferson Lerma	goals	0
Jefferson Lerma	caps	10
Jefferson Lerma	age	24
Jefferson Lerma	jersey	16
Colombia	forward	Radamel Falcao 
Colombia	has player	Radamel Falcao 
Radamel Falcao 	position	forward
Radamel Falcao 	goals	33
Radamel Falcao 	caps	82
Radamel Falcao 	age	33
Radamel Falcao 	jersey	9
Colombia	forward	Luis Muriel
Colombia	has player	Luis Muriel
Luis Muriel	position	forward
Luis Muriel	goals	2
Luis Muriel	caps	23
Luis Muriel	age	27
Luis Muriel	jersey	19
Colombia	forward	Yimmi Chara
Colombia	has player	Yimmi Chara
Yimmi Chara	position	forward
Yimmi Chara	goals	1
Yimmi Chara	caps	9
Yimmi Chara	age	27
Yimmi Chara	jersey	20
Colombia	forward	Duvan Zapata
Colombia	has player	Duvan Zapata
Duvan Zapata	position	forward
Duvan Zapata	goals	0
Duvan Zapata	caps	6
Duvan Zapata	age	27
Duvan Zapata	jersey	11
Colombia	goalkeeper	David Ospina
Colombia	has player	David Ospina
David Ospina	position	goalkeeper
David Ospina	goals	0
David Ospina	caps	94
David Ospina	age	30
Colombia	defender	Cristian Zapata
Colombia	has player	Cristian Zapata
Cristian Zapata	position	defender
Cristian Zapata	goals	2
Cristian Zapata	caps	56
Cristian Zapata	age	32
Colombia	midfielder	Juan Cuadrado
Colombia	has player	Juan Cuadrado
Juan Cuadrado	position	midfielder
Juan Cuadrado	goals	8
Juan Cuadrado	caps	78
Juan Cuadrado	age	30
Colombia	midfielder	Carlos Sanchez
Colombia	has player	Carlos Sanchez
Carlos Sanchez	position	midfielder
Carlos Sanchez	goals	0
Carlos Sanchez	caps	88
Carlos Sanchez	age	33
Colombia	midfielder	Abel Aguilar
Colombia	has player	Abel Aguilar
Abel Aguilar	position	midfielder
Abel Aguilar	goals	7
Abel Aguilar	caps	71
Abel Aguilar	age	34
Colombia	forward	Carlos Bacca
Colombia	has player	Carlos Bacca
Carlos Bacca	position	forward
Carlos Bacca	goals	16
Carlos Bacca	caps	52
Carlos Bacca	age	32
Colombia	forward	Teofilo Gutierrez
Colombia	has player	Teofilo Gutierrez
Teofilo Gutierrez	position	forward
Teofilo Gutierrez	goals	15
Teofilo Gutierrez	caps	51
Teofilo Gutierrez	age	33
