Germany	coach	Joachim Löw
Germany	captain	Manuel Neuer
Germany	world cup appearance	19 (first in 1934)
Germany	number of world cup champion	4
Germany	world cup Champions	1954
Germany	world cup Champions	 1974
Germany	world cup Champions	 1990
Germany	world cup Champions	 2014
Germany	goalkeeper	Manuel Neuer 
Germany	has player	Manuel Neuer 
Manuel Neuer 	position	goalkeeper
Manuel Neuer 	goals	0
Manuel Neuer 	caps	86
Manuel Neuer 	age	32
Manuel Neuer 	jersey	1
Germany	goalkeeper	Marc-Andre ter Stegen
Germany	has player	Marc-Andre ter Stegen
Marc-Andre ter Stegen	position	goalkeeper
Marc-Andre ter Stegen	goals	0
Marc-Andre ter Stegen	caps	22
Marc-Andre ter Stegen	age	26
Marc-Andre ter Stegen	jersey	22
Germany	defender	Thilo Kehrer
Germany	has player	Thilo Kehrer
Thilo Kehrer	position	defender
Thilo Kehrer	goals	0
Thilo Kehrer	caps	6
Thilo Kehrer	age	22
Thilo Kehrer	jersey	2
Germany	defender	Matthias Ginter
Germany	has player	Matthias Ginter
Matthias Ginter	position	defender
Matthias Ginter	goals	0
Matthias Ginter	caps	24
Matthias Ginter	age	25
Matthias Ginter	jersey	4
Germany	defender	Jonathan Tah
Germany	has player	Jonathan Tah
Jonathan Tah	position	defender
Jonathan Tah	goals	0
Jonathan Tah	caps	5
Jonathan Tah	age	23
Jonathan Tah	jersey	5
Germany	defender	Joshua Kimmich
Germany	has player	Joshua Kimmich
Joshua Kimmich	position	defender
Joshua Kimmich	goals	3
Joshua Kimmich	caps	40
Joshua Kimmich	age	24
Joshua Kimmich	jersey	6
Germany	defender	Niklas Sule
Germany	has player	Niklas Sule
Niklas Sule	position	defender
Niklas Sule	goals	1
Niklas Sule	caps	18
Niklas Sule	age	23
Niklas Sule	jersey	15
Germany	defender	Antonio Rudiger
Germany	has player	Antonio Rudiger
Antonio Rudiger	position	defender
Antonio Rudiger	goals	1
Antonio Rudiger	caps	30
Antonio Rudiger	age	26
Antonio Rudiger	jersey	16
Germany	midfielder	Toni Kroos 
Germany	has player	Toni Kroos 
Toni Kroos 	position	midfielder
Toni Kroos 	goals	14
Toni Kroos 	caps	92
Toni Kroos 	age	29
Toni Kroos 	jersey	8
Germany	midfielder	Julian Brandt
Germany	has player	Julian Brandt
Julian Brandt	position	midfielder
Julian Brandt	goals	2
Julian Brandt	caps	24
Julian Brandt	age	22
Julian Brandt	jersey	10
Germany	midfielder	Marco Reus
Germany	has player	Marco Reus
Marco Reus	position	midfielder
Marco Reus	goals	10
Marco Reus	caps	39
Marco Reus	age	29
Marco Reus	jersey	11
Germany	midfielder	Nico Schulz
Germany	has player	Nico Schulz
Nico Schulz	position	midfielder
Nico Schulz	goals	2
Nico Schulz	caps	6
Nico Schulz	age	25
Nico Schulz	jersey	14
Germany	midfielder	Leon Goretzka
Germany	has player	Leon Goretzka
Leon Goretzka	position	midfielder
Leon Goretzka	goals	7
Leon Goretzka	caps	21
Leon Goretzka	age	24
Leon Goretzka	jersey	18
Germany	midfielder	Leroy Sane
Germany	has player	Leroy Sane
Leroy Sane	position	midfielder
Leroy Sane	goals	3
Leroy Sane	caps	19
Leroy Sane	age	23
Leroy Sane	jersey	19
Germany	midfielder	Serge Gnabry
Germany	has player	Serge Gnabry
Serge Gnabry	position	midfielder
Serge Gnabry	goals	5
Serge Gnabry	caps	6
Serge Gnabry	age	23
Serge Gnabry	jersey	20
Germany	midfielder	Ilkay Gundogan
Germany	has player	Ilkay Gundogan
Ilkay Gundogan	position	midfielder
Ilkay Gundogan	goals	4
Ilkay Gundogan	caps	31
Ilkay Gundogan	age	28
Ilkay Gundogan	jersey	21
Germany	forward	Timo Werner
Germany	has player	Timo Werner
Timo Werner	position	forward
Timo Werner	goals	9
Timo Werner	caps	24
Timo Werner	age	23
Timo Werner	jersey	9
Germany	midfielder	Sami Khedira
Germany	has player	Sami Khedira
Sami Khedira	position	midfielder
Sami Khedira	goals	7
Sami Khedira	caps	77
Sami Khedira	age	31
