Portugal	coach	Fernando Santos
Portugal	captain	Cristiano Ronaldo
Portugal	world cup appearance	7 (first in 1966)
Portugal	number of world cup champion	0
Portugal	world cup Third place	1966
Portugal	goalkeeper	Rui Patricio
Portugal	has player	Rui Patricio
Rui Patricio	position	goalkeeper
Rui Patricio	goals	0
Rui Patricio	caps	78
Rui Patricio	age	31
Rui Patricio	jersey	1
Portugal	goalkeeper	Beto
Portugal	has player	Beto
Beto	position	goalkeeper
Beto	goals	0
Beto	caps	16
Beto	age	36
Beto	jersey	22
Portugal	defender	Joao Cancelo
Portugal	has player	Joao Cancelo
Joao Cancelo	position	defender
Joao Cancelo	goals	3
Joao Cancelo	caps	13
Joao Cancelo	age	24
Joao Cancelo	jersey	2
Portugal	defender	Pepe
Portugal	has player	Pepe
Pepe	position	defender
Pepe	goals	7
Pepe	caps	104
Pepe	age	36
Pepe	jersey	3
Portugal	defender	Ruben Dias
Portugal	has player	Ruben Dias
Ruben Dias	position	defender
Ruben Dias	goals	0
Ruben Dias	caps	8
Ruben Dias	age	21
Ruben Dias	jersey	4
Portugal	defender	Raphael Guerreiro
Portugal	has player	Raphael Guerreiro
Raphael Guerreiro	position	defender
Raphael Guerreiro	goals	2
Raphael Guerreiro	caps	31
Raphael Guerreiro	age	25
Raphael Guerreiro	jersey	5
Portugal	defender	Jose Fonte
Portugal	has player	Jose Fonte
Jose Fonte	position	defender
Jose Fonte	goals	0
Jose Fonte	caps	36
Jose Fonte	age	35
Jose Fonte	jersey	6
Portugal	defender	Mario Rui
Portugal	has player	Mario Rui
Mario Rui	position	defender
Mario Rui	goals	0
Mario Rui	caps	8
Mario Rui	age	27
Mario Rui	jersey	19
Portugal	defender	Nelson Semedo
Portugal	has player	Nelson Semedo
Nelson Semedo	position	defender
Nelson Semedo	goals	0
Nelson Semedo	caps	8
Nelson Semedo	age	25
Nelson Semedo	jersey	21
Portugal	midfielder	Joao Moutinho
Portugal	has player	Joao Moutinho
Joao Moutinho	position	midfielder
Joao Moutinho	goals	7
Joao Moutinho	caps	114
Joao Moutinho	age	32
Joao Moutinho	jersey	8
Portugal	midfielder	Joao Mario
Portugal	has player	Joao Mario
Joao Mario	position	midfielder
Joao Mario	goals	2
Joao Mario	caps	43
Joao Mario	age	26
Joao Mario	jersey	10
Portugal	midfielder	Danilo Pereira
Portugal	has player	Danilo Pereira
Danilo Pereira	position	midfielder
Danilo Pereira	goals	1
Danilo Pereira	caps	31
Danilo Pereira	age	27
Danilo Pereira	jersey	13
Portugal	midfielder	William Carvalho
Portugal	has player	William Carvalho
William Carvalho	position	midfielder
William Carvalho	goals	2
William Carvalho	caps	54
William Carvalho	age	26
William Carvalho	jersey	14
Portugal	midfielder	Ruben Neves
Portugal	has player	Ruben Neves
Ruben Neves	position	midfielder
Ruben Neves	goals	0
Ruben Neves	caps	10
Ruben Neves	age	22
Ruben Neves	jersey	18
Portugal	midfielder	Pizzi
Portugal	has player	Pizzi
Pizzi	position	midfielder
Pizzi	goals	2
Pizzi	caps	13
Pizzi	age	29
Pizzi	jersey	20
Portugal	forward	Cristiano Ronaldo 
Portugal	has player	Cristiano Ronaldo 
Cristiano Ronaldo 	position	forward
Cristiano Ronaldo 	goals	85
Cristiano Ronaldo 	caps	155
Cristiano Ronaldo 	age	34
Cristiano Ronaldo 	jersey	7
Portugal	forward	Andre Silva
Portugal	has player	Andre Silva
Andre Silva	position	forward
Andre Silva	goals	15
Andre Silva	caps	32
Andre Silva	age	23
Andre Silva	jersey	9
Portugal	forward	Bernardo Silva
Portugal	has player	Bernardo Silva
Bernardo Silva	position	forward
Bernardo Silva	goals	3
Bernardo Silva	caps	34
Bernardo Silva	age	24
Bernardo Silva	jersey	11
Portugal	forward	Rafa Silva
Portugal	has player	Rafa Silva
Rafa Silva	position	forward
Rafa Silva	goals	0
Rafa Silva	caps	14
Rafa Silva	age	25
Rafa Silva	jersey	15
Portugal	forward	Goncalo Guedes
Portugal	has player	Goncalo Guedes
Goncalo Guedes	position	forward
Goncalo Guedes	goals	3
Goncalo Guedes	caps	14
Goncalo Guedes	age	22
Portugal	defender	Bruno Alves
Portugal	has player	Bruno Alves
Bruno Alves	position	defender
Bruno Alves	goals	11
Bruno Alves	caps	96
Bruno Alves	age	37
Portugal	forward	Ricardo Quaresma
Portugal	has player	Ricardo Quaresma
Ricardo Quaresma	position	forward
Ricardo Quaresma	goals	10
Ricardo Quaresma	caps	80
Ricardo Quaresma	age	35
Portugal	forward	Nani
Portugal	has player	Nani
Nani	position	forward
Nani	goals	24
Nani	caps	112
Nani	age	32
