Senegal	coach	Aliou Cissé
Senegal	captain	Sadio Mané
Senegal	world cup appearance	2 (first in 2002)
Senegal	number of world cup champion	0
Senegal	world cup Quarter-Finals	2002
Senegal	defender	Kalidou Koulibaly
Senegal	has player	Kalidou Koulibaly
Kalidou Koulibaly	position	defender
Kalidou Koulibaly	goals	0
Kalidou Koulibaly	caps	32
Kalidou Koulibaly	age	27
Kalidou Koulibaly	jersey	3
Senegal	defender	Salif Sane
Senegal	has player	Salif Sane
Salif Sane	position	defender
Salif Sane	goals	0
Salif Sane	caps	28
Salif Sane	age	28
Salif Sane	jersey	6
Senegal	defender	Youssouf Sabaly
Senegal	has player	Youssouf Sabaly
Youssouf Sabaly	position	defender
Youssouf Sabaly	goals	0
Youssouf Sabaly	caps	11
Youssouf Sabaly	age	26
Youssouf Sabaly	jersey	12
Senegal	defender	Lamine Gassama
Senegal	has player	Lamine Gassama
Lamine Gassama	position	defender
Lamine Gassama	goals	0
Lamine Gassama	caps	38
Lamine Gassama	age	29
Lamine Gassama	jersey	21
Senegal	defender	Moussa Wague
Senegal	has player	Moussa Wague
Moussa Wague	position	defender
Moussa Wague	goals	1
Moussa Wague	caps	14
Moussa Wague	age	20
Moussa Wague	jersey	22
Senegal	midfielder	Idrissa Gueye
Senegal	has player	Idrissa Gueye
Idrissa Gueye	position	midfielder
Idrissa Gueye	goals	2
Idrissa Gueye	caps	63
Idrissa Gueye	age	29
Idrissa Gueye	jersey	5
Senegal	midfielder	Cheikhou Kouyate
Senegal	has player	Cheikhou Kouyate
Cheikhou Kouyate	position	midfielder
Cheikhou Kouyate	goals	2
Cheikhou Kouyate	caps	51
Cheikhou Kouyate	age	29
Cheikhou Kouyate	jersey	8
Senegal	midfielder	Cheikh N'Doye
Senegal	has player	Cheikh N'Doye
Cheikh N'Doye	position	midfielder
Cheikh N'Doye	goals	3
Cheikh N'Doye	caps	31
Cheikh N'Doye	age	32
Cheikh N'Doye	jersey	11
Senegal	midfielder	Alfred N'Diaye
Senegal	has player	Alfred N'Diaye
Alfred N'Diaye	position	midfielder
Alfred N'Diaye	goals	1
Alfred N'Diaye	caps	27
Alfred N'Diaye	age	29
Alfred N'Diaye	jersey	13
Senegal	midfielder	Badou Ndiaye
Senegal	has player	Badou Ndiaye
Badou Ndiaye	position	midfielder
Badou Ndiaye	goals	1
Badou Ndiaye	caps	19
Badou Ndiaye	age	28
Badou Ndiaye	jersey	17
Senegal	forward	Moussa Konate
Senegal	has player	Moussa Konate
Moussa Konate	position	forward
Moussa Konate	goals	11
Moussa Konate	caps	31
Moussa Konate	age	25
Moussa Konate	jersey	7
Senegal	forward	M'Baye Niang
Senegal	has player	M'Baye Niang
M'Baye Niang	position	forward
M'Baye Niang	goals	4
M'Baye Niang	caps	15
M'Baye Niang	age	24
M'Baye Niang	jersey	9
Senegal	forward	Sadio Mane 
Senegal	has player	Sadio Mane 
Sadio Mane 	position	forward
Sadio Mane 	goals	15
Sadio Mane 	caps	59
Sadio Mane 	age	26
Sadio Mane 	jersey	10
Senegal	forward	Ismaila Sarr
Senegal	has player	Ismaila Sarr
Ismaila Sarr	position	forward
Ismaila Sarr	goals	3
Ismaila Sarr	caps	21
Ismaila Sarr	age	21
Ismaila Sarr	jersey	18
Senegal	forward	Keita Balde
Senegal	has player	Keita Balde
Keita Balde	position	forward
Keita Balde	goals	4
Keita Balde	caps	23
Keita Balde	age	24
Keita Balde	jersey	20
Senegal	forward	Mame Biram Diouf
Senegal	has player	Mame Biram Diouf
Mame Biram Diouf	position	forward
Mame Biram Diouf	goals	10
Mame Biram Diouf	caps	51
Mame Biram Diouf	age	31
