Spain	coach	Luis Enrique
Spain	captain	Sergio Ramos
Spain	world cup appearance	15 (first in 1934)
Spain	number of world cup champion	1
Spain	world cup Champions	2010
Spain	goalkeeper	David de Gea
Spain	has player	David de Gea
David de Gea	position	goalkeeper
David de Gea	goals	0
David de Gea	caps	39
David de Gea	age	28
David de Gea	jersey	1
Spain	defender	Inigo Martinez
Spain	has player	Inigo Martinez
Inigo Martinez	position	defender
Inigo Martinez	goals	0
Inigo Martinez	caps	9
Inigo Martinez	age	27
Inigo Martinez	jersey	4
Spain	defender	Juan Bernat
Spain	has player	Juan Bernat
Juan Bernat	position	defender
Juan Bernat	goals	1
Juan Bernat	caps	7
Juan Bernat	age	26
Juan Bernat	jersey	14
Spain	defender	Sergio Ramos 
Spain	has player	Sergio Ramos 
Sergio Ramos 	position	defender
Sergio Ramos 	goals	18
Sergio Ramos 	caps	162
Sergio Ramos 	age	32
Sergio Ramos 	jersey	15
Spain	defender	Jordi Alba
Spain	has player	Jordi Alba
Jordi Alba	position	defender
Jordi Alba	goals	8
Jordi Alba	caps	68
Jordi Alba	age	30
Jordi Alba	jersey	18
Spain	defender	Jesus Navas
Spain	has player	Jesus Navas
Jesus Navas	position	defender
Jesus Navas	goals	3
Jesus Navas	caps	36
Jesus Navas	age	33
Jesus Navas	jersey	22
Spain	midfielder	Sergio Busquets
Spain	has player	Sergio Busquets
Sergio Busquets	position	midfielder
Sergio Busquets	goals	2
Sergio Busquets	caps	112
Sergio Busquets	age	30
Sergio Busquets	jersey	5
Spain	midfielder	Saul Niguez
Spain	has player	Saul Niguez
Saul Niguez	position	midfielder
Saul Niguez	goals	2
Saul Niguez	caps	15
Saul Niguez	age	24
Saul Niguez	jersey	6
Spain	midfielder	Dani Ceballos
Spain	has player	Dani Ceballos
Dani Ceballos	position	midfielder
Dani Ceballos	goals	1
Dani Ceballos	caps	6
Dani Ceballos	age	22
Dani Ceballos	jersey	8
Spain	midfielder	Rodri
Spain	has player	Rodri
Rodri	position	midfielder
Rodri	goals	0
Rodri	caps	5
Rodri	age	22
Rodri	jersey	16
Spain	midfielder	Sergi Roberto
Spain	has player	Sergi Roberto
Sergi Roberto	position	midfielder
Sergi Roberto	goals	1
Sergi Roberto	caps	5
Sergi Roberto	age	27
Sergi Roberto	jersey	20
Spain	forward	Alvaro Morata
Spain	has player	Alvaro Morata
Alvaro Morata	position	forward
Alvaro Morata	goals	13
Alvaro Morata	caps	28
Alvaro Morata	age	26
Alvaro Morata	jersey	7
Spain	forward	Rodrigo
Spain	has player	Rodrigo
Rodrigo	position	forward
Rodrigo	goals	5
Rodrigo	caps	16
Rodrigo	age	28
Rodrigo	jersey	9
Spain	forward	Marco Asensio
Spain	has player	Marco Asensio
Marco Asensio	position	forward
Marco Asensio	goals	1
Marco Asensio	caps	21
Marco Asensio	age	23
Marco Asensio	jersey	10
Spain	defender	Raul Albiol
Spain	has player	Raul Albiol
Raul Albiol	position	defender
Raul Albiol	goals	0
Raul Albiol	caps	52
Raul Albiol	age	33
Spain	defender	Gerard Pique
Spain	has player	Gerard Pique
Gerard Pique	position	defender
Gerard Pique	goals	5
Gerard Pique	caps	102
Gerard Pique	age	32
Spain	midfielder	Andres Iniesta
Spain	has player	Andres Iniesta
Andres Iniesta	position	midfielder
Andres Iniesta	goals	13
Andres Iniesta	caps	131
Andres Iniesta	age	34
Spain	midfielder	David Silva
Spain	has player	David Silva
David Silva	position	midfielder
David Silva	goals	35
David Silva	caps	125
David Silva	age	33
