Sweden	coach	Janne Andersson
Sweden	captain	Andreas Granqvist
Sweden	world cup appearance	12 (first in 1934)
Sweden	number of world cup champion	0
Sweden	world cup Runners-up	1958
Sweden	goalkeeper	Robin Olsen
Sweden	has player	Robin Olsen
Robin Olsen	position	goalkeeper
Robin Olsen	goals	0
Robin Olsen	caps	28
Robin Olsen	age	29
Robin Olsen	jersey	1
Sweden	goalkeeper	Karl-Johan Johnsson
Sweden	has player	Karl-Johan Johnsson
Karl-Johan Johnsson	position	goalkeeper
Karl-Johan Johnsson	goals	0
Karl-Johan Johnsson	caps	7
Karl-Johan Johnsson	age	29
Karl-Johan Johnsson	jersey	12
Sweden	goalkeeper	Kristoffer Nordfeldt
Sweden	has player	Kristoffer Nordfeldt
Kristoffer Nordfeldt	position	goalkeeper
Kristoffer Nordfeldt	goals	0
Kristoffer Nordfeldt	caps	10
Kristoffer Nordfeldt	age	29
Kristoffer Nordfeldt	jersey	23
Sweden	defender	Mikael Lustig
Sweden	has player	Mikael Lustig
Mikael Lustig	position	defender
Mikael Lustig	goals	6
Mikael Lustig	caps	75
Mikael Lustig	age	32
Mikael Lustig	jersey	2
Sweden	defender	Filip Helander
Sweden	has player	Filip Helander
Filip Helander	position	defender
Filip Helander	goals	0
Filip Helander	caps	7
Filip Helander	age	25
Filip Helander	jersey	3
Sweden	defender	Andreas Granqvist 
Sweden	has player	Andreas Granqvist 
Andreas Granqvist 	position	defender
Andreas Granqvist 	goals	9
Andreas Granqvist 	caps	82
Andreas Granqvist 	age	33
Andreas Granqvist 	jersey	4
Sweden	defender	Ludwig Augustinsson
Sweden	has player	Ludwig Augustinsson
Ludwig Augustinsson	position	defender
Ludwig Augustinsson	goals	1
Ludwig Augustinsson	caps	25
Ludwig Augustinsson	age	24
Ludwig Augustinsson	jersey	6
Sweden	defender	Anton Tinnerholm
Sweden	has player	Anton Tinnerholm
Anton Tinnerholm	position	defender
Anton Tinnerholm	goals	0
Anton Tinnerholm	caps	9
Anton Tinnerholm	age	28
Anton Tinnerholm	jersey	14
Sweden	defender	Emil Krafth
Sweden	has player	Emil Krafth
Emil Krafth	position	defender
Emil Krafth	goals	0
Emil Krafth	caps	19
Emil Krafth	age	24
Emil Krafth	jersey	16
Sweden	midfielder	Alexander Fransson
Sweden	has player	Alexander Fransson
Alexander Fransson	position	midfielder
Alexander Fransson	goals	0
Alexander Fransson	caps	8
Alexander Fransson	age	24
Alexander Fransson	jersey	5
Sweden	midfielder	Sebastian Larsson 
Sweden	has player	Sebastian Larsson 
Sebastian Larsson 	position	midfielder
Sebastian Larsson 	goals	6
Sebastian Larsson 	caps	110
Sebastian Larsson 	age	33
Sebastian Larsson 	jersey	7
Sweden	midfielder	Albin Ekdal
Sweden	has player	Albin Ekdal
Albin Ekdal	position	midfielder
Albin Ekdal	goals	0
Albin Ekdal	caps	42
Albin Ekdal	age	29
Albin Ekdal	jersey	8
Sweden	midfielder	Gustav Svensson
Sweden	has player	Gustav Svensson
Gustav Svensson	position	midfielder
Gustav Svensson	goals	0
Gustav Svensson	caps	21
Gustav Svensson	age	32
Gustav Svensson	jersey	13
Sweden	midfielder	Kristoffer Olsson
Sweden	has player	Kristoffer Olsson
Kristoffer Olsson	position	midfielder
Kristoffer Olsson	goals	0
Kristoffer Olsson	caps	6
Kristoffer Olsson	age	23
Kristoffer Olsson	jersey	20
Sweden	midfielder	Jimmy Durmaz
Sweden	has player	Jimmy Durmaz
Jimmy Durmaz	position	midfielder
Jimmy Durmaz	goals	3
Jimmy Durmaz	caps	48
Jimmy Durmaz	age	30
Jimmy Durmaz	jersey	21
Sweden	midfielder	Ken Sema
Sweden	has player	Ken Sema
Ken Sema	position	midfielder
Ken Sema	goals	0
Ken Sema	caps	6
Ken Sema	age	25
Ken Sema	jersey	22
Sweden	forward	Marcus Berg
Sweden	has player	Marcus Berg
Marcus Berg	position	forward
Marcus Berg	goals	19
Marcus Berg	caps	68
Marcus Berg	age	32
Marcus Berg	jersey	9
Sweden	forward	Robin Quaison
Sweden	has player	Robin Quaison
Robin Quaison	position	forward
Robin Quaison	goals	3
Robin Quaison	caps	7
Robin Quaison	age	25
Robin Quaison	jersey	11
Sweden	forward	Viktor Claesson
Sweden	has player	Viktor Claesson
Viktor Claesson	position	forward
Viktor Claesson	goals	5
Viktor Claesson	caps	34
Viktor Claesson	age	27
Viktor Claesson	jersey	17
Sweden	forward	Ola Toivonen
Sweden	has player	Ola Toivonen
Ola Toivonen	position	forward
Ola Toivonen	goals	14
Ola Toivonen	caps	64
Ola Toivonen	age	32
