Switzerland	coach	Vladimir Petković
Switzerland	captain	Stephan Lichtsteiner
Switzerland	world cup appearance	11 (first in 1934)
Switzerland	number of world cup champion	0
Switzerland	world cup Quarter-finals	1934
Switzerland	world cup Quarter-finals	 1938
Switzerland	world cup Quarter-finals	 1954
Switzerland	goalkeeper	Yann Sommer
Switzerland	has player	Yann Sommer
Yann Sommer	position	goalkeeper
Yann Sommer	goals	0
Yann Sommer	caps	44
Yann Sommer	age	30
Yann Sommer	jersey	1
Switzerland	defender	Stephan Lichtsteiner
Switzerland	has player	Stephan Lichtsteiner
Stephan Lichtsteiner	position	defender
Stephan Lichtsteiner	goals	8
Stephan Lichtsteiner	caps	105
Stephan Lichtsteiner	age	35
Stephan Lichtsteiner	jersey	2
Switzerland	defender	Nico Elvedi
Switzerland	has player	Nico Elvedi
Nico Elvedi	position	defender
Nico Elvedi	goals	1
Nico Elvedi	caps	9
Nico Elvedi	age	22
Nico Elvedi	jersey	4
Switzerland	defender	Manuel Akanji
Switzerland	has player	Manuel Akanji
Manuel Akanji	position	defender
Manuel Akanji	goals	0
Manuel Akanji	caps	14
Manuel Akanji	age	23
Manuel Akanji	jersey	5
Switzerland	defender	Michael Lang
Switzerland	has player	Michael Lang
Michael Lang	position	defender
Michael Lang	goals	3
Michael Lang	caps	30
Michael Lang	age	28
Michael Lang	jersey	6
Switzerland	defender	Ricardo Rodriguez
Switzerland	has player	Ricardo Rodriguez
Ricardo Rodriguez	position	defender
Ricardo Rodriguez	goals	6
Ricardo Rodriguez	caps	62
Ricardo Rodriguez	age	26
Ricardo Rodriguez	jersey	13
Switzerland	defender	Timm Klose
Switzerland	has player	Timm Klose
Timm Klose	position	defender
Timm Klose	goals	0
Timm Klose	caps	17
Timm Klose	age	30
Timm Klose	jersey	20
Switzerland	defender	Fabian Schar
Switzerland	has player	Fabian Schar
Fabian Schar	position	defender
Fabian Schar	goals	7
Fabian Schar	caps	48
Fabian Schar	age	27
Fabian Schar	jersey	22
Switzerland	midfielder	Remo Freuler
Switzerland	has player	Remo Freuler
Remo Freuler	position	midfielder
Remo Freuler	goals	0
Remo Freuler	caps	15
Remo Freuler	age	26
Remo Freuler	jersey	8
Switzerland	midfielder	Granit Xhaka
Switzerland	has player	Granit Xhaka
Granit Xhaka	position	midfielder
Granit Xhaka	goals	10
Granit Xhaka	caps	73
Granit Xhaka	age	26
Granit Xhaka	jersey	10
Switzerland	midfielder	Renato Steffen
Switzerland	has player	Renato Steffen
Renato Steffen	position	midfielder
Renato Steffen	goals	0
Renato Steffen	caps	6
Renato Steffen	age	27
Renato Steffen	jersey	11
Switzerland	midfielder	Steven Zuber
Switzerland	has player	Steven Zuber
Steven Zuber	position	midfielder
Steven Zuber	goals	6
Steven Zuber	caps	22
Steven Zuber	age	27
Steven Zuber	jersey	14
Switzerland	midfielder	Denis Zakaria
Switzerland	has player	Denis Zakaria
Denis Zakaria	position	midfielder
Denis Zakaria	goals	2
Denis Zakaria	caps	19
Denis Zakaria	age	22
Denis Zakaria	jersey	17
Switzerland	forward	Breel Embolo
Switzerland	has player	Breel Embolo
Breel Embolo	position	forward
Breel Embolo	goals	3
Breel Embolo	caps	31
Breel Embolo	age	22
Breel Embolo	jersey	7
Switzerland	forward	Albian Ajeti
Switzerland	has player	Albian Ajeti
Albian Ajeti	position	forward
Albian Ajeti	goals	1
Albian Ajeti	caps	6
Albian Ajeti	age	22
Albian Ajeti	jersey	9
Switzerland	forward	Admir Mehmedi
Switzerland	has player	Admir Mehmedi
Admir Mehmedi	position	forward
Admir Mehmedi	goals	8
Admir Mehmedi	caps	60
Admir Mehmedi	age	28
Admir Mehmedi	jersey	18
Switzerland	forward	Mario Gavranovic
Switzerland	has player	Mario Gavranovic
Mario Gavranovic	position	forward
Mario Gavranovic	goals	6
Mario Gavranovic	caps	21
Mario Gavranovic	age	29
Mario Gavranovic	jersey	19
Switzerland	defender	Johan Djourou
Switzerland	has player	Johan Djourou
Johan Djourou	position	defender
Johan Djourou	goals	2
Johan Djourou	caps	76
Johan Djourou	age	32
Switzerland	midfielder	Xherdan Shaqiri
Switzerland	has player	Xherdan Shaqiri
Xherdan Shaqiri	position	midfielder
Xherdan Shaqiri	goals	22
Xherdan Shaqiri	caps	80
Xherdan Shaqiri	age	27
Switzerland	midfielder	Blerim Dzemaili
Switzerland	has player	Blerim Dzemaili
Blerim Dzemaili	position	midfielder
Blerim Dzemaili	goals	10
Blerim Dzemaili	caps	69
Blerim Dzemaili	age	32
Switzerland	forward	Haris Seferovic
Switzerland	has player	Haris Seferovic
Haris Seferovic	position	forward
Haris Seferovic	goals	17
Haris Seferovic	caps	59
Haris Seferovic	age	27
