Uruguay	coach	Óscar Tabárez
Uruguay	captain	Diego Godín
Uruguay	world cup appearance	13 (first in 1930)
Uruguay	number of world cup champion	2
Uruguay	world cup Champions	1930
Uruguay	world cup Champions	 1950
Uruguay	goalkeeper	Fernando Muslera
Uruguay	has player	Fernando Muslera
Fernando Muslera	position	goalkeeper
Fernando Muslera	goals	0
Fernando Muslera	caps	107
Fernando Muslera	age	32
Fernando Muslera	jersey	1
Uruguay	goalkeeper	Martin Silva
Uruguay	has player	Martin Silva
Martin Silva	position	goalkeeper
Martin Silva	goals	0
Martin Silva	caps	11
Martin Silva	age	36
Martin Silva	jersey	23
Uruguay	defender	Diego Godin 
Uruguay	has player	Diego Godin 
Diego Godin 	position	defender
Diego Godin 	goals	8
Diego Godin 	caps	126
Diego Godin 	age	33
Diego Godin 	jersey	3
Uruguay	defender	Martin Caceres
Uruguay	has player	Martin Caceres
Martin Caceres	position	defender
Martin Caceres	goals	4
Martin Caceres	caps	88
Martin Caceres	age	31
Martin Caceres	jersey	22
Uruguay	defender	Jose Gimenez
Uruguay	has player	Jose Gimenez
Jose Gimenez	position	defender
Jose Gimenez	goals	7
Jose Gimenez	caps	49
Jose Gimenez	age	24
Jose Gimenez	jersey	2
Uruguay	defender	Sebastian Coates
Uruguay	has player	Sebastian Coates
Sebastian Coates	position	defender
Sebastian Coates	goals	1
Sebastian Coates	caps	34
Sebastian Coates	age	28
Sebastian Coates	jersey	19
Uruguay	defender	Diego Laxalt
Uruguay	has player	Diego Laxalt
Diego Laxalt	position	defender
Diego Laxalt	goals	0
Diego Laxalt	caps	16
Diego Laxalt	age	26
Diego Laxalt	jersey	17
Uruguay	midfielder	Nicolas Lodeiro
Uruguay	has player	Nicolas Lodeiro
Nicolas Lodeiro	position	midfielder
Nicolas Lodeiro	goals	4
Nicolas Lodeiro	caps	56
Nicolas Lodeiro	age	30
Nicolas Lodeiro	jersey	7
Uruguay	midfielder	Matias Vecino
Uruguay	has player	Matias Vecino
Matias Vecino	position	midfielder
Matias Vecino	goals	3
Matias Vecino	caps	33
Matias Vecino	age	27
Matias Vecino	jersey	5
Uruguay	midfielder	Nahitan Nandez
Uruguay	has player	Nahitan Nandez
Nahitan Nandez	position	midfielder
Nahitan Nandez	goals	0
Nahitan Nandez	caps	22
Nahitan Nandez	age	23
Nahitan Nandez	jersey	8
Uruguay	midfielder	Giorgian De Arrascaeta
Uruguay	has player	Giorgian De Arrascaeta
Giorgian De Arrascaeta	position	midfielder
Giorgian De Arrascaeta	goals	2
Giorgian De Arrascaeta	caps	19
Giorgian De Arrascaeta	age	24
Giorgian De Arrascaeta	jersey	10
Uruguay	midfielder	Rodrigo Bentancur
Uruguay	has player	Rodrigo Bentancur
Rodrigo Bentancur	position	midfielder
Rodrigo Bentancur	goals	0
Rodrigo Bentancur	caps	18
Rodrigo Bentancur	age	21
Rodrigo Bentancur	jersey	6
Uruguay	midfielder	Lucas Torreira
Uruguay	has player	Lucas Torreira
Lucas Torreira	position	midfielder
Lucas Torreira	goals	0
Lucas Torreira	caps	15
Lucas Torreira	age	23
Lucas Torreira	jersey	14
Uruguay	midfielder	Federico Valverde
Uruguay	has player	Federico Valverde
Federico Valverde	position	midfielder
Federico Valverde	goals	1
Federico Valverde	caps	9
Federico Valverde	age	20
Federico Valverde	jersey	15
Uruguay	midfielder	Gaston Pereiro
Uruguay	has player	Gaston Pereiro
Gaston Pereiro	position	midfielder
Gaston Pereiro	goals	4
Gaston Pereiro	caps	7
Gaston Pereiro	age	23
Gaston Pereiro	jersey	16
Uruguay	forward	Cristhian Stuani
Uruguay	has player	Cristhian Stuani
Cristhian Stuani	position	forward
Cristhian Stuani	goals	8
Cristhian Stuani	caps	48
Cristhian Stuani	age	32
Cristhian Stuani	jersey	11
Uruguay	forward	Jonathan Rodriguez
Uruguay	has player	Jonathan Rodriguez
Jonathan Rodriguez	position	forward
Jonathan Rodriguez	goals	2
Jonathan Rodriguez	caps	14
Jonathan Rodriguez	age	25
Jonathan Rodriguez	jersey	20
Uruguay	forward	Maxi Gomez
Uruguay	has player	Maxi Gomez
Maxi Gomez	position	forward
Maxi Gomez	goals	1
Maxi Gomez	caps	11
Maxi Gomez	age	22
Maxi Gomez	jersey	18
Uruguay	defender	Maxi Pereira
Uruguay	has player	Maxi Pereira
Maxi Pereira	position	defender
Maxi Pereira	goals	3
Maxi Pereira	caps	125
Maxi Pereira	age	34
Uruguay	midfielder	Cristian Rodriguez
Uruguay	has player	Cristian Rodriguez
Cristian Rodriguez	position	midfielder
Cristian Rodriguez	goals	11
Cristian Rodriguez	caps	109
Cristian Rodriguez	age	33
Uruguay	forward	Luis Suarez
Uruguay	has player	Luis Suarez
Luis Suarez	position	forward
Luis Suarez	goals	55
Luis Suarez	caps	106
Luis Suarez	age	32
Uruguay	forward	Edinson Cavani
Uruguay	has player	Edinson Cavani
Edinson Cavani	position	forward
Edinson Cavani	goals	46
Edinson Cavani	caps	109
Edinson Cavani	age	32
